data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva
10/03/20;;;0;0;0;3;0
11/03/20;;;-1;0;0;4;0
12/03/20;;;1;0;0;5;0
13/03/20;;;0;0;0;6;1
14/03/20;;;2;0;0;6;1
15/03/20;;;1;0;0;7;2
16/03/20;;;0;0;0;7;2
17/03/20;;;8;0;0;9;3
18/03/20;;;6;0;0;10;3
19/03/20;2,990509;2,990509;7;0;0;14;5
20/03/20;2,649413;2,649413;7;0;0;13;8
21/03/20;2,391285;2,391285;4;0;0;13;9
22/03/20;2,253686;2,253686;7;0;0;12;10
23/03/20;2,167525;2,167525;1;0;0;11;11
24/03/20;2,14408;2,14408;3;0;0;9;12
25/03/20;2,117885;2,117885;2;0;0;13;12
26/03/20;2,057875;2,057875;2;0;0;13;12
27/03/20;1,969916;1,969916;62;0;0;15;12
28/03/20;1,897311;1,897311;3;0;4;16;13
29/03/20;1,845294;1,845294;5;1;0;22;11
30/03/20;1,798031;1,798031;11;5;1;22;10
31/03/20;1,746494;1,746494;5;5;0;20;8
01/04/20;1,710665;1,710665;1;1;2;27;7
02/04/20;1,649471;1,649471;6;2;2;46;9
03/04/20;1,5818;1,5818;4;2;1;68;8
04/04/20;1,477601;1,477601;0;3;2;60;8
05/04/20;1,348797;1,348797;7;1;0;57;7
06/04/20;1,23162;1,23162;1;1;0;56;7
07/04/20;1,099097;1,099097;4;2;1;57;7
08/04/20;0,971852;0,971852;7;0;2;56;7
09/04/20;0,855296;0,855296;4;1;1;55;7
10/04/20;0,749091;0,749091;3;-1;2;55;7
11/04/20;0,645744;0,645744;5;0;3;57;6
12/04/20;0,548687;0,548687;1;0;0;57;6
13/04/20;0,445998;0,445998;1;0;2;56;5
14/04/20;0,346827;0,346827;1;0;0;57;5
15/04/20;0,267767;0,267767;6;2;0;58;4
16/04/20;0,223041;0,223041;4;0;4;60;2
17/04/20;0,208302;0,208302;1;1;4;60;1
18/04/20;0,217933;0,217933;2;0;2;60;2
19/04/20;0,243727;0,243727;0;0;3;58;1
20/04/20;0,275026;0,275026;0;0;2;55;2
21/04/20;0,329499;0,329499;0;1;1;53;2
22/04/20;0,415248;0,415248;0;0;2;50;2
23/04/20;0,521468;0,521468;4;0;3;50;2
24/04/20;0,609638;0,609638;0;2;1;49;2
25/04/20;0,707903;0,707903;0;0;5;49;2
26/04/20;0,813954;0,813954;1;0;0;49;2
27/04/20;0,875693;0,875693;3;1;3;48;2
28/04/20;0,873686;0,873686;0;1;6;48;2
29/04/20;0,837673;0,837673;1;0;2;48;2
30/04/20;0,79316;0,79316;1;0;6;47;2
01/05/20;0,732561;0,732561;0;0;2;47;2
02/05/20;0,668359;0,668359;0;1;0;46;2
03/05/20;0,61622;0,61622;0;0;6;47;2
04/05/20;0,572641;0,572641;1;0;1;46;2
05/05/20;0,547579;0,547579;0;0;1;46;2
06/05/20;0,495027;0,495027;1;1;0;45;2
07/05/20;0,432601;0,432601;1;0;5;42;0
08/05/20;0,417078;0,417078;0;0;1;41;0
09/05/20;0,42318;0,42318;0;0;2;39;0
10/05/20;0,41417;0,41417;0;0;9;39;0
11/05/20;0,301393;0,301393;1;0;3;39;0
12/05/20;0,231965;0,231965;0;0;0;39;0
13/05/20;0,193433;0,193433;0;0;1;38;0
14/05/20;0,241256;0,241256;0;0;4;37;1
15/05/20;0,287661;0,287661;0;0;-2;37;1
16/05/20;0,339554;0,339554;0;0;2;37;1
17/05/20;0,469588;0,469588;0;0;5;37;1
18/05/20;0,635364;0,635364;0;0;2;36;1
19/05/20;0,842879;0,842879;1;0;8;36;1
20/05/20;1,007126;1,007126;1;0;5;36;1
21/05/20;1,126178;1,126178;0;0;2;34;1
22/05/20;1,235866;1,235866;1;0;6;34;1
23/05/20;1,373775;1,373775;0;0;2;32;1
24/05/20;1,46665;1,46665;0;0;1;32;1
25/05/20;1,291286;1,291286;0;0;1;32;1
26/05/20;1,104945;1,104945;0;0;10;32;1
27/05/20;0,912585;0,912585;0;0;6;28;1
28/05/20;0,737449;0,737449;0;0;4;25;1
29/05/20;0,595683;0,595683;0;0;3;22;1
30/05/20;0,482489;0,482489;0;0;1;21;1
31/05/20;;;0;0;1;20;1
01/06/20;;;0;0;2;18;1
02/06/20;;;0;0;0;18;1
03/06/20;;;0;0;0;18;0
04/06/20;;;0;0;4;14;0
05/06/20;;;0;0;0;14;0
06/06/20;;;0;0;0;14;0
07/06/20;;;0;0;0;14;0
08/06/20;;;0;0;0;14;0
09/06/20;;;0;0;0;15;0
10/06/20;;;0;0;2;14;0
11/06/20;;;0;0;0;14;1
12/06/20;;;0;0;0;14;1
13/06/20;;;0;0;0;14;1
14/06/20;;;0;0;0;14;1
15/06/20;;;0;0;1;14;1
16/06/20;;;0;0;0;15;0
17/06/20;;;0;0;0;15;0
18/06/20;;;0;0;0;15;0
19/06/20;;;0;0;0;15;0
20/06/20;;;0;0;0;15;0
21/06/20;1;1;0;0;0;15;0
22/06/20;;;0;0;3;12;0
23/06/20;;;0;0;6;6;0
24/06/20;;;0;0;0;6;0
25/06/20;;;0;0;0;6;0
26/06/20;;;0;0;0;6;0
27/06/20;;;0;0;0;6;0
28/06/20;;;0;0;5;1;0
29/06/20;;;0;0;0;1;0
30/06/20;;;0;0;0;1;0
01/07/20;;;0;0;0;1;0
02/07/20;;;0;0;0;1;0
03/07/20;;;0;0;0;1;0
04/07/20;;;0;0;0;1;0
05/07/20;;;0;0;0;1;0
06/07/20;;;0;0;0;1;0
07/07/20;;;0;0;0;1;0
08/07/20;;;0;0;0;1;0
09/07/20;;;0;0;0;1;0
10/07/20;;;0;0;1;1;0
11/07/20;;;0;0;0;1;0
12/07/20;;;1;0;0;1;0
13/07/20;;;0;0;0;1;0
14/07/20;;;0;0;0;1;0
15/07/20;;;0;0;0;1;0
16/07/20;;;0;0;0;1;0
17/07/20;;;1;0;0;2;0
18/07/20;;;1;0;0;3;0
19/07/20;;;0;0;1;2;0
20/07/20;;;0;0;-1;2;0
21/07/20;;;0;0;0;2;0
22/07/20;;;0;0;0;2;0
23/07/20;;;0;0;0;2;0
24/07/20;;;0;0;0;2;0
25/07/20;;;0;0;0;2;0
26/07/20;;;0;0;0;2;0
27/07/20;1;1;0;0;0;2;0
28/07/20;;;0;0;0;2;0
29/07/20;;;0;0;0;2;0
30/07/20;;;0;0;0;2;1
31/07/20;;;0;0;0;2;0
01/08/20;;;0;0;0;2;0
02/08/20;;;0;0;0;2;0
03/08/20;;;0;0;0;2;0
04/08/20;;;0;0;0;2;0
05/08/20;;;1;0;1;2;0
06/08/20;;;0;0;0;2;0
07/08/20;;;0;0;0;2;0
08/08/20;;;0;0;0;4;0
09/08/20;;;0;0;0;4;0
10/08/20;;;0;0;0;4;0
11/08/20;;;0;0;0;4;0
12/08/20;;;0;0;0;4;0
13/08/20;;;2;0;0;4;0
14/08/20;;;2;0;1;4;1
15/08/20;;;2;0;0;4;1
16/08/20;;;0;0;0;4;1
17/08/20;2,75834;2,75834;0;0;1;3;1
18/08/20;2,793379;2,793379;0;0;0;3;1
19/08/20;2,736664;2,736664;1;0;0;3;1
20/08/20;2,590826;2,590826;0;0;0;3;1
21/08/20;2,362773;2,362773;0;0;0;3;1
22/08/20;2,099619;2,099619;1;0;0;3;1
23/08/20;1,770515;1,770515;0;0;0;3;1
24/08/20;1,395531;1,395531;0;0;0;3;1
25/08/20;1,131363;1,131363;0;0;0;3;1
26/08/20;0,934807;0,934807;1;0;0;4;0
27/08/20;0,77377;0,77377;0;0;0;4;0
28/08/20;0,643461;0,643461;0;0;0;4;0
29/08/20;0,642367;0,642367;0;0;0;4;0
30/08/20;0,678078;0,678078;0;0;0;4;0
31/08/20;0,743989;0,743989;0;0;0;9;0
01/09/20;0,812736;0,812736;1;0;0;9;0
02/09/20;0,908516;0,908516;0;0;0;8;0
03/09/20;1,048413;1,048413;0;0;0;8;0
04/09/20;1,205987;1,205987;1;0;0;7;0
05/09/20;1,371391;1,371391;2;0;0;6;0
06/09/20;1,538626;1,538626;9;0;0;10;0
07/09/20;1,751246;1,751246;5;0;0;11;0
08/09/20;1,960318;1,960318;3;0;0;12;0
09/09/20;1,910189;1,910189;1;0;0;13;0
10/09/20;1,814306;1,814306;0;0;0;13;0
11/09/20;1,712285;1,712285;2;0;0;13;0
12/09/20;1,659128;1,659128;2;0;0;13;0
13/09/20;1,609919;1,609919;0;0;1;12;0
14/09/20;1,610949;1,610949;0;0;0;13;0
15/09/20;1,580734;1,580734;2;0;0;13;0
16/09/20;1,553976;1,553976;2;0;0;12;0
17/09/20;1,54805;1,54805;2;0;0;11;1
18/09/20;1,53637;1,53637;7;0;1;10;1
19/09/20;1,490099;1,490099;10;0;0;11;1
