Data;Guariti per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;5
31 mar - 6 apr;7
7 - 13 apr;11
14 - 20 apr;15
21 - 27 apr;15
28 apr - 4 mag;23
5 - 11 mag;21
12 - 18 mag;14
19 - 25 mag;25
26 mag - 1 giu;27
2 - 8 giu;4
9 - 15 giu;3
16 - 22 giu;3
23 - 29 giu;11
30 giu - 6 lug;0
7 - 13 lug;1
14 - 20 lug;1
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;2
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;1
15 - 21 set;3
22 - 28 set;10
29 set - 5 ott;21
6 - 12 ott;30
13 - 19 ott;25
20 - 26 ott;13
27 ott - 2 nov;16
3 - 9 nov;42
10 - 16 nov;95
17 - 23 nov;136
24 - 30 nov;124
1 - 7 dic;321
8 - 14 dic;254
15 - 21 dic;354
22 - 28 dic;89
29 dic - 4 gen;155
5 -11 gen;97
12 - 18 gen;371
19 - 25 gen;129
26 gen - 1 feb;280
2 - 8 feb;277
9 - 15 feb;395
16 - 22 feb;188
23 feb - 1 mar;93
2 - 8 mar;74
9 - 15 mar;88
16 - 22 mar;160
23 - 29 mar;148
30 mar - 5 apr;201
6 - 12 apr;352
13 - 19 apr;312
