data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva
10/03/20;;;2;0;1;4;1
11/03/20;;;-1;0;0;6;1
12/03/20;;;3;0;-1;11;1
13/03/20;;;2;0;0;17;1
14/03/20;;;5;0;0;20;1
15/03/20;;;2;0;0;24;1
16/03/20;;;0;0;0;29;1
17/03/20;;;10;0;0;29;2
18/03/20;;;4;0;0;;
19/03/20;;;7;1;0;28;3
20/03/20;;;7;1;0;;
21/03/20;;;5;0;0;;
22/03/20;;;13;1;0;;
23/03/20;1,713939;1,705876;5;0;0;50;4
24/03/20;1,612497;1,607626;16;2;0;39;3
25/03/20;1,531944;1,53056;15;0;0;42;3
26/03/20;1,450709;1,453073;8;2;0;40;3
27/03/20;1,368412;1,374809;21;1;0;44;3
28/03/20;1,281925;1,288767;26;2;0;48;3
29/03/20;1,210721;1,218613;17;1;1;51;3
30/03/20;1,13957;1,148233;13;0;1;53;3
31/03/20;1,079366;1,08831;2;0;0;54;3
01/04/20;1,041831;1,050909;2;0;1;56;3
02/04/20;0,990641;0,999369;6;1;0;53;4
03/04/20;0,938175;0,946634;9;0;2;54;4
04/04/20;0,914402;0,919909;1;1;0;54;4
05/04/20;0,901428;0,904191;26;3;1;51;4
06/04/20;0,906443;0,906742;13;1;0;54;4
07/04/20;0,896313;0,893961;11;0;2;51;5
08/04/20;0,871317;0,866138;12;0;2;51;6
09/04/20;0,848785;0,840868;9;0;0;51;6
10/04/20;0,834141;0,823593;14;0;0;51;6
11/04/20;0,824381;0,813505;2;0;0;51;7
12/04/20;0,793776;0,783011;0;0;4;49;6
13/04/20;0,761156;0,750966;4;1;1;48;5
14/04/20;0,730481;0,720894;22;1;0;49;5
15/04/20;0,70691;0,697962;1;1;3;46;5
16/04/20;0,697684;0,690029;39;1;2;48;4
17/04/20;0,672883;0,667189;10;0;4;44;4
18/04/20;0,639056;0,637311;18;0;5;41;4
19/04/20;0,599819;0,601443;22;2;4;36;4
20/04/20;0,560672;0,565248;1;0;0;37;4
21/04/20;0,528175;0,535151;9;0;7;33;4
22/04/20;0,515507;0,524291;9;0;2;33;4
23/04/20;0,50628;0,516424;4;0;0;35;4
24/04/20;0,492762;0,503745;9;2;4;33;3
25/04/20;0,492722;0,504091;8;0;10;32;3
26/04/20;0,514471;0,525876;0;0;10;29;3
27/04/20;0,547419;0,558445;2;2;10;29;1
