Data;Casi per settimana
10 - 16 mar;2
17 - 23 mar;7
24 - 30 mar;17
31 mar - 6 apr;9
7 - 13 apr;8
14 - 20 apr;16
21 - 27 apr;6
28 apr - 4 mag;1
5 - 11 mag;1
12 - 18 mag;1
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;2
21 - 27 lug;0
28 lug - 3 ago;1
4 - 10 ago;0
11 - 17 ago;1
18 - 24 ago;1
25 - 31 ago;3
1 - 7 set;5
8 - 14 set;5
15 - 21 set;4
22 - 28 set;3
29 set - 5 ott;4
6 - 12 ott;4
13 - 19 ott;21
20 - 26 ott;60
27 ott - 2 nov;74
3 - 9 nov;93
10 - 16 nov;81
17 - 23 nov;158
24 - 30 nov;146
1 - 7 dic;129
8 - 14 dic;62
15 - 21 dic;40
22 - 28 dic;36
29 dic - 4 gen;63
5 -11 gen;80
12 - 18 gen;89
19 - 25 gen;98
26 gen - 1 feb;76
2 - 8 feb;57
9 - 15 feb;43
16 - 22 feb;44
23 feb - 1 mar;42
2 - 8 mar;72
9 - 15 mar;97
16 - 22 mar;140
23 - 29 mar;178
30 mar - 5 apr;154
6 - 12 apr;171
13 - 19 apr;200
20 - 26 apr;204
27 apr - 3 mag;141
