Data;Decessi per settimana
10 - 16 mar;0
17 - 23 mar;3
24 - 30 mar;8
31 mar - 6 apr;6
7 - 13 apr;1
14 - 20 apr;5
21 - 27 apr;4
28 apr - 4 mag;2
5 - 11 mag;4
12 - 18 mag;1
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;0
22 - 28 set;2
29 set - 5 ott;0
6 - 12 ott;0
13 - 19 ott;0
20 - 26 ott;2
27 ott - 2 nov;6
3 - 9 nov;12
10 - 16 nov;14
17 - 23 nov;29
24 - 30 nov;22
1 - 7 dic;24
8 - 14 dic;23
15 - 21 dic;20
22 - 28 dic;12
29 dic - 4 gen;9
5 -11 gen;11
12 - 18 gen;10
19 - 25 gen;13
26 gen - 1 feb;12
2 - 8 feb;12
9 - 15 feb;7
16 - 22 feb;8
23 feb - 1 mar;9
2 - 8 mar;3
9 - 15 mar;8
16 - 22 mar;20
23 - 29 mar;15
30 mar - 5 apr;38
6 - 12 apr;32
13 - 19 apr;22
20 - 26 apr;14
