Data;Guariti per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;2
31 mar - 6 apr;4
7 - 13 apr;9
14 - 20 apr;18
21 - 27 apr;43
28 apr - 4 mag;46
5 - 11 mag;44
12 - 18 mag;66
19 - 25 mag;46
26 mag - 1 giu;72
2 - 8 giu;41
9 - 15 giu;29
16 - 22 giu;11
23 - 29 giu;1
30 giu - 6 lug;1
7 - 13 lug;1
14 - 20 lug;1
21 - 27 lug;1
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;9
1 - 7 set;7
8 - 14 set;9
15 - 21 set;12
22 - 28 set;8
29 set - 5 ott;14
6 - 12 ott;24
13 - 19 ott;22
20 - 26 ott;44
27 ott - 2 nov;22
3 - 9 nov;25
10 - 16 nov;55
17 - 23 nov;55
24 - 30 nov;104
1 - 7 dic;234
8 - 14 dic;426
15 - 21 dic;528
22 - 28 dic;303
29 dic - 4 gen;1.113
5 -11 gen;415
12 - 18 gen;205
19 - 25 gen;361
26 gen - 1 feb;1.241
2 - 8 feb;1.145
9 - 15 feb;667
16 - 22 feb;500
23 feb - 1 mar;290
2 - 8 mar;255
9 - 15 mar;140
16 - 22 mar;197
23 - 29 mar;58
30 mar - 5 apr;342
6 - 12 apr;469
13 - 19 apr;594
20 - 26 apr;460
27 apr - 3 mag;1.379
4 - 10 mag;1.140
11 - 17 mag;683
18 - 24 mag;477
25 - 31 mag;554
1 - 7 giu;566
8 - 14 giu;468
15 - 21 giu;632
22 - 28 giu;1.073
29 giu - 5 lug;2.410
6 - 12 lug;853
