Data;Casi per settimana
10 - 16 mar;13
17 - 23 mar;51
24 - 30 mar;116
31 mar - 6 apr;59
7 - 13 apr;52
14 - 20 apr;113
21 - 27 apr;41
28 apr - 4 mag;10
5 - 11 mag;4
12 - 18 mag;4
19 - 25 mag;1
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;1
7 - 13 lug;0
14 - 20 lug;17
21 - 27 lug;2
28 lug - 3 ago;4
4 - 10 ago;2
11 - 17 ago;4
18 - 24 ago;9
25 - 31 ago;19
1 - 7 set;36
8 - 14 set;37
15 - 21 set;28
22 - 28 set;21
29 set - 5 ott;27
6 - 12 ott;27
13 - 19 ott;142
20 - 26 ott;411
27 ott - 2 nov;514
3 - 9 nov;640
10 - 16 nov;562
17 - 23 nov;1.094
24 - 30 nov;1.007
1 - 7 dic;893
8 - 14 dic;431
15 - 21 dic;273
22 - 28 dic;250
29 dic - 4 gen;432
5 -11 gen;555
12 - 18 gen;615
19 - 25 gen;675
26 gen - 1 feb;525
2 - 8 feb;391
9 - 15 feb;295
16 - 22 feb;302
23 feb - 1 mar;292
2 - 8 mar;494
9 - 15 mar;673
16 - 22 mar;966
23 - 29 mar;1.228
30 mar - 5 apr;1.065
6 - 12 apr;1.181
13 - 19 apr;1.379
20 - 26 apr;1.407
27 apr - 3 mag;975
4 - 10 mag;763
11 - 17 mag;511
18 - 24 mag;346
25 - 30 mag;283
31 mag - 6 giu;292
7 - 13 giu;178
14 - 20 giu;144
