Data;Terapie intensive per settimana
10 - 16 mar;1
17 - 23 mar;4
24 - 30 mar;3
31 mar - 6 apr;4
7 - 13 apr;5
14 - 20 apr;4
21 - 27 apr;1
28 apr - 4 mag;0
5 - 11 mag;0
12 - 18 mag;0
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;2
8 - 14 set;2
15 - 21 set;3
22 - 28 set;0
29 set - 5 ott;0
6 - 12 ott;0
13 - 19 ott;1
20 - 26 ott;3
27 ott - 2 nov;10
3 - 9 nov;17
10 - 16 nov;21
17 - 23 nov;19
24 - 30 nov;22
1 - 7 dic;18
8 - 14 dic;13
15 - 21 dic;11
22 - 28 dic;9
29 dic - 4 gen;10
5 -11 gen;12
12 - 18 gen;13
19 - 25 gen;14
26 gen - 1 feb;9
2 - 8 feb;10
9 - 15 feb;9
16 - 22 feb;7
23 feb - 1 mar;4
2 - 8 mar;12
9 - 15 mar;14
16 - 22 mar;18
23 - 29 mar;22
30 mar - 5 apr;25
6 - 12 apr;25
13 - 19 apr;23
20 - 26 apr;23
27 apr - 3 mag;22
4 - 10 mag;15
11 - 17 mag;7
18 - 24 mag;11
25 - 31 mag;6
1 - 7 giu;4
8 - 14 giu;3
15 - 21 giu;4
22 - 28 giu;3
29 giu - 5 lug;4
6 - 12 lug;1
