Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,3,-,-,-,1
ACRI,750,9,1,10,240
AIELLO CALABRO,11,-,-,-,3
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,1,27
ALESSANDRIA DEL CARRETTO,1,-,-,-,1
ALTILIA,21,-,-,1,14
ALTOMONTE,189,2,-,2,72
ALTRA ASP,70,3,1,2,11
ALTRA REGIONE,23,2,-,1,4
AMANTEA,254,3,1,6,81
AMENDOLARA,20,-,-,-,-
APRIGLIANO,51,8,-,1,-
BELMONTE CALABRO,10,-,-,-,1
BELSITO,23,1,-,-,13
BELVEDERE MARITTIMO,188,4,1,3,8
BIANCHI,24,1,-,-,5
BISIGNANO,444,9,-,2,159
BOCCHIGLIERO,35,4,-,1,2
BONIFATI,12,-,-,1,1
BUONVICINO,21,1,-,-,3
CALOPEZZATI,24,-,-,1,11
CALOVETO,35,-,-,-,13
CAMPANA,119,3,-,4,59
CANNA,-,-,-,-,-
CARIATI,200,4,-,2,91
CAROLEI,49,-,-,-,8
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,241,13,-,-,30
CASSANO ALLO IONIO,672,13,-,3,118
CASTIGLIONE COSENTINO,72,2,-,1,14
CASTROLIBERO,189,2,-,4,50
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,454,9,-,2,50
CELICO,136,4,1,1,36
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,33,2,-,-,6
CERISANO,46,-,-,1,7
CERVICATI,35,1,-,2,19
CERZETO,34,-,-,2,20
CETRARO,109,3,-,1,19
CIVITA,10,-,-,-,-
CLETO,10,1,-,-,7
COLOSIMI,12,-,-,-,6
CORIGLIANO-ROSSANO,3576,69,3,35,666
COSENZA,1813,42,1,19,401
CROPALATI,17,-,-,1,5
CROSIA,370,6,2,11,210
DIAMANTE,61,2,-,1,4
DIPIGNANO,116,2,-,1,7
DOMANICO,31,-,-,1,9
FAGNANO CASTELLO,47,3,-,-,10
FALCONARA ALBANESE,21,1,-,1,16
FIGLINE VEGLIATURO,37,-,-,1,13
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,14,-,-,-,8
FRANCAVILLA MARITTIMA,44,3,-,-,14
FRASCINETO,62,2,-,-,-
FUSCALDO,152,-,-,2,71
GRIMALDI,21,-,-,-,3
GRISOLIA,20,-,-,-,-
