Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,21,-,-,-,-
ACQUAPPESA,13,1,-,-,-
ACRI,848,15,-,2,4
AIELLO CALABRO,15,-,-,-,1
AIETA,-,-,-,-,-
ALBIDONA,46,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,25,-,-,-,3
ALTOMONTE,217,2,-,-,15
ALTRA ASP,81,5,-,1,1
ALTRA REGIONE,23,2,-,-,-
AMANTEA,300,5,-,-,3
AMENDOLARA,22,-,-,-,-
APRIGLIANO,58,8,-,-,6
BELMONTE CALABRO,37,-,-,-,1
BELSITO,29,1,-,-,-
BELVEDERE MARITTIMO,216,4,-,-,7
BIANCHI,25,1,-,-,-
BISIGNANO,522,10,-,-,4
BOCCHIGLIERO,36,5,-,-,-
BONIFATI,24,1,-,-,8
BUONVICINO,22,1,1,-,-
CALOPEZZATI,30,-,-,-,-
CALOVETO,52,-,-,-,-
CAMPANA,129,3,-,-,-
CANNA,3,-,-,-,-
CARIATI,232,5,-,2,-
CAROLEI,56,-,-,-,2
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,281,13,-,-,4
CASSANO ALLO IONIO,854,17,-,1,5
CASTIGLIONE COSENTINO,105,3,-,-,9
CASTROLIBERO,274,5,-,1,12
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,527,11,-,-,1
CELICO,170,6,-,3,20
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,42,2,-,-,5
CERISANO,65,-,-,-,1
CERVICATI,43,1,-,-,1
CERZETO,48,-,-,-,-
CETRARO,198,3,-,-,8
CIVITA,10,-,-,-,-
CLETO,19,1,-,-,-
COLOSIMI,15,-,-,-,1
CORIGLIANO-ROSSANO,3908,81,-,4,82
COSENZA,2283,54,1,6,99
CROPALATI,17,-,-,-,-
CROSIA,417,8,-,-,-
DIAMANTE,65,2,-,-,-
DIPIGNANO,133,4,-,-,5
DOMANICO,54,-,-,-,-
FAGNANO CASTELLO,51,3,-,-,3
FALCONARA ALBANESE,22,1,-,-,-
FIGLINE VEGLIATURO,42,-,-,-,2
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,18,-,-,-,1
FRANCAVILLA MARITTIMA,83,4,-,-,12
FRASCINETO,64,2,-,-,-
FUSCALDO,219,-,-,-,17
GRIMALDI,38,-,-,-,13
GRISOLIA,23,-,-,-,-
GUARDIA PIEMONTESE,47,1,-,-,1
LAGO,47,1,-,-,-
LAINO BORGO,56,3,-,-,-
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,-
LATTARICO,145,3,1,-,-
LONGOBARDI,13,-,-,-,-
LONGOBUCCO,77,1,-,-,-
LUNGRO,56,4,-,-,5
LUZZI,334,7,-,-,12
MAIERA',19,-,-,-,-
MALITO,21,1,-,-,-
MALVITO,31,2,-,-,1
MANDATORICCIO,111,2,-,-,1
MANGONE,91,2,-,-,4
MARANO MARCHESATO,108,5,-,-,4
MARANO PRINCIPATO,101,-,-,-,6
MARZI,35,2,-,-,-
MENDICINO,290,-,-,2,5
MONGRASSANO,56,2,-,1,3
MONTALTO UFFUGO,712,8,-,1,24
MONTEGIORDANO,21,-,-,-,-
MORANO CALABRO,96,4,-,-,1
MORMANNO,119,7,-,-,-
MOTTAFOLLONE,14,1,-,-,-
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,5,-,-,-,1
PALUDI,24,-,-,-,-
PANETTIERI,10,1,-,-,-
PAOLA,299,9,-,-,2
PAPASIDERO,1,-,-,-,-
PARENTI,44,1,-,-,-
PATERNO CALABRO,118,-,-,-,1
