"Comune","A domicilio","Deceduti","Guariti/Dimessi","Totale casi"
"ACQUAFORMOSA",0,0,0,0
"ACQUAPPESA",0,0,0,0
"ACRI",0,0,4,4
"AIELLO CALABRO",0,0,0,0
"AIETA",0,0,0,0
"ALBIDONA",0,0,0,0
"ALESSANDRIA DEL CARRETTO",0,0,0,0
"ALTILIA",0,0,0,0
"ALTOMONTE",0,0,5,5
"AMANTEA",0,2,5,7
"AMENDOLARA",0,0,0,0
"APRIGLIANO",0,0,0,0
"BELMONTE CALABRO",0,0,0,0
"BELSITO",0,1,6,7
"BELVEDERE MARITTIMO",0,0,1,1
"BIANCHI",0,0,0,0
"BISIGNANO",0,0,11,11
"BOCCHIGLIERO",0,4,18,22
"BONIFATI",0,0,0,0
"BUONVICINO",0,0,0,0
"CALOPEZZATI",0,0,0,0
"CALOVETO",0,0,0,0
"CAMPANA",0,0,0,0
"CANNA",0,0,0,0
"CARIATI",0,0,4,4
"CAROLEI",0,0,0,0
"CARPANZANO",0,0,3,3
"CASALI DEL MANCO",0,0,3,3
"CASSANO ALLO IONIO",0,0,1,1
"CASTIGLIONE COSENTINO",0,0,0,0
"CASTROLIBERO",0,0,0,0
"CASTROREGIO",0,0,0,0
"CASTROVILLARI",0,0,3,3
"CELICO",0,0,0,0
"CELLARA",0,0,0,0
"CERCHIARA DI CALABRIA",0,0,0,0
"CERISANO",0,0,0,0
"CERVICATI",0,0,0,0
"CERZETO",0,0,0,0
"CETRARO",0,1,2,3
"CIVITA",0,0,0,0
"CLETO",0,0,0,0
"COLOSIMI",0,0,1,1
"CORIGLIANO-ROSSANO",0,2,40,42
"COSENZA",9,2,24,35
"CROPALATI",0,0,0,0
"CROSIA",0,0,1,1
"DIAMANTE",0,0,1,1
"DIPIGNANO",0,0,4,4
"DOMANICO",0,0,0,0
"DONNICI",0,0,0,0
"FAGNANO CASTELLO",0,1,6,7
"FALCONARA ALBANESE",0,0,0,0
"FIGLINE VEGLIATURO",0,0,5,5
"FIRMO",0,0,0,0
"FIUMEFREDDO BRUZIO",0,0,0,0
"FRANCAVILLA MARITTIMA",0,1,2,3
"FRASCINETO",0,0,1,1
"FUSCALDO",0,0,3,3
"GRIMALDI",0,0,1,1
"GRISOLIA",0,0,0,0
"GUARDIA PIEMONTESE",0,0,0,0
"LAGO",0,0,0,0
"LAINO BORGO",0,0,0,0
"LAINO CASTELLO",0,0,0,0
"LAPPANO",0,0,0,0
"LATTARICO",0,0,1,1
"LONGOBARDI",0,0,0,0
"LONGOBUCCO",0,0,0,0
"LUNGRO",0,0,0,0
"LUZZI",0,0,5,5
"MAIERA'",0,0,0,0
"MALITO",0,0,0,0
"MALVITO",0,0,0,0
"MANDATORICCIO",0,0,0,0
"MANGONE",0,0,3,3
"MARANO MARCHESATO",0,1,3,4
"MARANO PRINCIPATO",0,0,2,2
"MARZI",0,1,9,10
"MENDICINO",0,0,1,1
"MONGRASSANO",0,0,0,0
"MONTALTO UFFUGO",0,0,10,10
"MONTEGIORDANO",0,0,0,0
"MORANO CALABRO",0,0,0,0
"MORMANNO",0,0,0,0
"MOTTAFOLLONE",0,0,0,0
"NOCARA",0,0,0,0
"ORIOLO CALABRO",0,1,27,28
"ORSOMARSO",0,0,0,0
"PALUDI",0,0,0,0
"PANETTIERI",0,0,0,0
"PAOLA",0,1,14,15
"PAPASIDERO",0,0,0,0
"PARENTI",0,0,2,2
"PATERNO CALABRO",0,0,0,0
"PEDIVIGLIANO",0,0,0,0
"PIANE CRATI",0,0,6,6
"PIETRAFITTA",0,0,0,0
"PIETRAPAOLA",0,0,0,0
"PLATACI",0,0,0,0
"PRAIA A MARE",0,0,1,1
"RENDE",0,2,6,8
"ROCCA IMPERIALE",0,0,0,0
"ROGGIANO GRAVINA",0,0,2,2
"ROGLIANO",1,1,35,37
"ROSE",0,0,0,0
"ROSETO CAPO SPULICO",0,0,0,0
"ROTA GRECA",0,0,3,3
"ROVITO",0,0,0,0
"SAN BASILE",0,0,0,0
"SAN BENEDETTO ULLANO",0,0,0,0
"SAN COSMO ALBANESE",0,0,0,0
"SAN DEMETRIO CORONE",0,0,0,0
"SAN DONATO DI NINEA",0,0,0,0
"SAN FILI",0,0,0,0
"SAN GIORGIO ALBANESE",0,0,0,0
"SAN GIOVANNI IN FIORE",0,0,0,0
"SAN LORENZO BELLIZZI",0,0,0,0
"SAN LORENZO DEL VALLO",0,0,0,0
"SAN LUCIDO",0,4,50,54
"SAN MARCO ARGENTANO",0,0,4,4
"SAN MARTINO DI FINITA",0,0,3,3
"SAN NICOLA ARCELLA",0,0,0,0
"SAN PIETRO IN AMANTEA",0,0,0,0
"SAN PIETRO IN GUARANO",0,1,0,1
"SAN SOSTI",0,0,0,0
"SAN VINCENZO LA COSTA",0,0,0,0
"SANGINETO",0,0,0,0
"SANT'AGATA DI ESARO",0,0,0,0
"SANTA CATERINA ALBANESE",0,0,2,2
"SANTA DOMENICA TALAO",0,0,0,0
"SANTA MARIA DEL CEDRO",0,0,1,1
"SANTA SOFIA D'EPIRO",0,0,1,1
"SANTO STEFANO DI ROGLIANO",0,0,5,5
"SARACENA",0,0,0,0
"SCALA COELI",0,2,2,4
"SCALEA",0,0,0,0
"SCIGLIANO",0,0,0,0
"SERRA D'AIELLO",0,0,0,0
"SPEZZANO ALBANESE",0,0,0,0
"SPEZZANO DELLA SILA",0,0,0,0
"TARSIA",0,0,0,0
"TERRANOVA DA SIBARI",0,0,3,3
"TERRAVECCHIA",0,0,0,0
"TORANO CASTELLO",0,6,73,79
"TORTORA",0,0,1,1
"TREBISACCE",0,0,1,1
"VACCARIZZO ALBANESE",0,0,0,0
"VERBICARO",0,0,0,0
"VILLAPIANA",0,0,4,4
"ZUMPANO",0,0,0,0
