Comune,Casi da inizio pandemia,Deceduti da inizio pandemia,Attuali ricoverati in rianimazione,Attuali ricoverati in altri reparti,In isolamento domiciliare ultimi 30gg
ACQUAFORMOSA,6,-,-,-,-
ACQUAPPESA,13,-,1,-,9
ACRI,813,11,1,11,101
AIELLO CALABRO,13,-,-,-,2
AIETA,-,-,-,-,-
ALBIDONA,45,1,-,-,-
ALESSANDRIA DEL CARRETTO,1,-,-,-,-
ALTILIA,21,-,-,2,12
ALTOMONTE,196,2,-,-,10
ALTRA ASP,75,4,-,1,6
ALTRA REGIONE,23,2,-,1,-
AMANTEA,291,4,-,2,64
AMENDOLARA,20,-,-,-,-
APRIGLIANO,52,8,-,-,1
BELMONTE CALABRO,31,-,-,2,20
BELSITO,26,1,-,-,11
BELVEDERE MARITTIMO,202,4,-,2,15
BIANCHI,25,1,-,-,1
BISIGNANO,501,10,-,3,73
BOCCHIGLIERO,36,5,-,-,1
BONIFATI,15,-,-,-,4
BUONVICINO,21,1,-,-,3
CALOPEZZATI,30,-,-,-,8
CALOVETO,45,-,-,1,17
CAMPANA,129,3,-,2,59
CANNA,3,-,-,1,2
CARIATI,225,4,-,2,48
CAROLEI,52,-,-,-,4
CARPANZANO,3,-,-,-,-
CASALI DEL MANCO,269,13,-,2,30
CASSANO ALLO IONIO,752,15,-,4,70
CASTIGLIONE COSENTINO,90,3,-,1,30
CASTROLIBERO,255,3,-,6,81
CASTROREGIO,-,-,-,-,-
CASTROVILLARI,502,10,-,2,56
CELICO,143,5,-,2,15
CELLARA,4,-,-,-,-
CERCHIARA DI CALABRIA,34,2,-,-,3
CERISANO,63,-,-,1,17
CERVICATI,37,1,-,1,4
CERZETO,48,-,-,1,17
CETRARO,168,3,-,-,75
CIVITA,10,-,-,-,-
CLETO,19,1,-,1,13
COLOSIMI,12,-,-,-,3
CORIGLIANO-ROSSANO,3718,77,2,17,211
COSENZA,2054,46,-,22,329
CROPALATI,17,-,-,1,-
CROSIA,413,7,-,5,63
DIAMANTE,63,2,-,-,2
DIPIGNANO,127,3,1,1,8
DOMANICO,53,-,-,1,26
FAGNANO CASTELLO,47,3,-,-,1
FALCONARA ALBANESE,22,1,-,-,15
FIGLINE VEGLIATURO,39,-,-,-,6
FIRMO,11,-,-,-,-
FIUMEFREDDO BRUZIO,16,-,-,-,4
FRANCAVILLA MARITTIMA,46,3,-,-,-
FRASCINETO,62,2,-,-,-
FUSCALDO,171,-,-,2,38
GRIMALDI,22,-,-,-,4
GRISOLIA,21,-,-,1,-
GUARDIA PIEMONTESE,39,-,1,-,22
LAGO,47,1,-,-,1
LAINO BORGO,54,3,-,-,11
LAINO CASTELLO,7,-,-,-,-
LAPPANO,23,1,-,-,10
LATTARICO,139,3,-,2,26
LONGOBARDI,13,-,-,-,1
LONGOBUCCO,77,1,-,3,2
LUNGRO,38,3,-,-,4
LUZZI,306,7,-,1,44
MAIERA',19,-,-,-,-
MALITO,21,-,-,-,15
MALVITO,28,-,-,1,8
MANDATORICCIO,110,2,-,5,86
MANGONE,88,1,1,-,12
MARANO MARCHESATO,104,5,-,1,37
MARANO PRINCIPATO,89,-,-,-,15
MARZI,35,2,-,-,11
MENDICINO,271,-,-,5,35
MONGRASSANO,50,2,-,-,6
MONTALTO UFFUGO,658,6,1,5,148
MONTEGIORDANO,20,-,-,-,-
MORANO CALABRO,94,4,-,1,10
MORMANNO,118,7,-,-,8
MOTTAFOLLONE,14,1,-,-,2
NOCARA,16,-,-,-,-
ORIOLO,41,2,-,-,-
ORSOMARSO,3,-,-,-,-
PALUDI,24,-,-,-,1
PANETTIERI,10,1,-,-,-
PAOLA,277,7,-,3,61
PAPASIDERO,1,-,-,-,-
PARENTI,35,1,-,1,8
PATERNO CALABRO,117,-,-,1,5
PEDIVIGLIANO,53,-,-,2,-
PIANE CRATI,59,1,-,-,8
PIETRAFITTA,16,-,-,-,6
PIETRAPAOLA,46,2,-,2,34
PLATACI,2,-,-,-,-
PRAIA A MARE,115,4,-,-,8
RENDE,1238,22,1,7,291
ROCCA IMPERIALE,137,1,-,-,63
ROGGIANO GRAVINA,164,5,-,5,26
ROGLIANO,180,3,-,2,35
ROSE,212,4,-,1,16
ROSETO CAPO SPULICO,28,-,-,-,-
ROTA GRECA,35,3,-,-,3
ROVITO,108,1,-,1,8
SAN BASILE,12,-,-,-,4
SAN BENEDETTO ULLANO,27,2,-,-,-
SAN COSMO ALBANESE,61,4,-,1,-
SAN DEMETRIO CORONE,38,-,-,-,6
SAN DONATO DI NINEA,15,2,-,1,4
SAN FILI,53,1,-,-,8
SAN GIORGIO ALBANESE,26,2,-,1,3
SAN GIOVANNI IN FIORE,838,24,1,6,88
SAN LORENZO BELLIZZI,1,-,-,-,-
SAN LORENZO DEL VALLO,58,-,-,-,6
SAN LUCIDO,146,5,-,-,21
SAN MARCO ARGENTANO,102,3,-,3,19
SAN MARTINO DI FINITA,51,2,-,-,-
SAN NICOLA ARCELLA,19,1,-,-,-
SAN PIETRO IN AMANTEA,1,-,-,-,-
SAN PIETRO IN GUARANO,109,5,-,2,18
SAN SOSTI,82,4,1,2,9
