"Comune","A domicilio","Deceduti","Guariti/Dimessi","Ricoverati","Totale casi"
"ACQUAFORMOSA",0,0,0,0,0
"ACQUAPPESA",0,0,0,0,0
"ACRI",11,0,7,0,18
"AIELLO CALABRO",0,0,0,0,0
"AIETA",0,0,0,0,0
"ALBIDONA",1,0,0,0,1
"ALESSANDRIA DEL CARRETTO",0,0,0,0,0
"ALTILIA",0,0,1,0,1
"ALTOMONTE",0,0,5,0,5
"AMANTEA",17,2,35,0,54
"AMENDOLARA",0,0,0,0,0
"APRIGLIANO",0,0,0,0,0
"BELMONTE CALABRO",0,0,0,0,0
"BELSITO",0,1,6,0,7
"BELVEDERE MARITTIMO",42,0,1,3,46
"BIANCHI",0,0,0,0,0
"BISIGNANO",5,0,11,0,16
"BOCCHIGLIERO",0,4,18,0,22
"BONIFATI",0,0,0,0,0
"BUONVICINO",9,1,0,0,10
"CALOPEZZATI",0,0,0,0,0
"CALOVETO",0,0,0,0,0
"CAMPANA",0,0,0,0,0
"CANNA",0,0,0,0,0
"CARIATI",0,1,4,0,5
"CAROLEI",4,0,0,0,4
"CARPANZANO",0,0,3,0,3
"CASALI DEL MANCO",71,2,3,4,80
"CASSANO ALLO IONIO",13,0,3,1,17
"CASTIGLIONE COSENTINO",3,0,0,0,3
"CASTROLIBERO",2,0,7,1,10
"CASTROREGIO",0,0,0,0,0
"CASTROVILLARI",5,0,3,0,8
"CELICO",34,0,0,2,36
"CELLARA",0,0,0,0,0
"CERCHIARA DI CALABRIA",0,0,0,0,0
"CERISANO",0,0,0,0,0
"CERVICATI",0,0,0,0,0
"CERZETO",0,0,0,0,0
"CETRARO",24,1,2,0,27
"CIVITA",0,0,0,0,0
"CLETO",0,0,0,0,0
"COLOSIMI",0,0,1,0,1
"CORIGLIANO-ROSSANO",14,3,83,0,100
"COSENZA",109,2,57,13,181
"CROPALATI",0,0,1,0,1
"CROSIA",0,0,3,0,3
"DIAMANTE",10,0,3,0,13
"DIPIGNANO",1,0,4,0,5
"DOMANICO",1,0,0,0,1
"DONNICI",0,0,0,0,0
"FAGNANO CASTELLO",3,1,6,0,10
"FALCONARA ALBANESE",0,0,0,0,0
"FIGLINE VEGLIATURO",0,0,5,0,5
"FIRMO",0,0,0,0,0
"FIUMEFREDDO BRUZIO",0,0,1,0,1
"FRANCAVILLA MARITTIMA",1,1,2,0,4
"FRASCINETO",4,0,1,1,6
"FUSCALDO",11,0,3,0,14
"GRIMALDI",3,0,1,0,4
"GRISOLIA",5,0,0,0,5
"GUARDIA PIEMONTESE",0,0,0,0,0
"LAGO",0,0,0,0,0
"LAINO BORGO",2,0,0,0,2
"LAINO CASTELLO",0,0,0,0,0
"LAPPANO",1,0,0,0,1
"LATTARICO",0,0,1,0,1
"LONGOBARDI",0,0,0,0,0
"LONGOBUCCO",0,0,0,0,0
"LUNGRO",0,0,0,0,0
"LUZZI",0,0,6,0,6
"MAIERA'",1,0,0,0,1
"MALITO",0,0,0,0,0
"MALVITO",0,0,0,0,0
"MANDATORICCIO",2,0,2,0,4
"MANGONE",2,0,3,0,5
"MARANO MARCHESATO",1,1,4,0,6
"MARANO PRINCIPATO",0,0,3,0,3
"MARZI",0,1,9,0,10
"MENDICINO",3,0,1,0,4
"MONGRASSANO",0,0,0,0,0
"MONTALTO UFFUGO",25,0,11,1,37
"MONTEGIORDANO",0,0,0,0,0
"MORANO CALABRO",0,0,0,0,0
"MORMANNO",1,0,0,0,1
"MOTTAFOLLONE",0,0,0,0,0
"NOCARA",0,0,0,0,0
"ORIOLO CALABRO",0,1,27,0,28
"ORSOMARSO",0,0,0,0,0
"PALUDI",1,0,1,0,2
"PANETTIERI",0,0,0,0,0
"PAOLA",2,1,15,0,18
"PAPASIDERO",1,0,0,0,1
"PARENTI",0,0,2,0,2
"PATERNO CALABRO",1,0,0,0,1
"PEDIVIGLIANO",0,0,0,0,0
"PIANE CRATI",1,0,6,0,7
"PIETRAFITTA",0,0,1,0,1
"PIETRAPAOLA",0,0,0,0,0
"PLATACI",2,0,0,0,2
"PRAIA A MARE",1,0,1,0,2
"RENDE",70,2,11,2,85
"ROCCA IMPERIALE",1,0,0,0,1
"ROGGIANO GRAVINA",2,0,2,1,5
"ROGLIANO",1,1,36,0,38
"ROSE",4,0,1,0,5
"ROSETO CAPO SPULICO",0,0,1,0,1
"ROTA GRECA",4,0,3,0,7
"ROVITO",19,0,0,0,19
"SAN BASILE",0,0,0,0,0
"SAN BENEDETTO ULLANO",0,0,0,0,0
"SAN COSMO ALBANESE",0,0,0,0,0
"SAN DEMETRIO CORONE",0,0,0,0,0
"SAN DONATO DI NINEA",0,0,0,0,0
"SAN FILI",1,0,0,0,1
"SAN GIORGIO ALBANESE",0,0,0,0,0
"SAN GIOVANNI IN FIORE",15,0,0,0,15
"SAN LORENZO BELLIZZI",0,0,0,0,0
"SAN LORENZO DEL VALLO",0,0,0,1,1
"SAN LUCIDO",3,4,51,0,58
"SAN MARCO ARGENTANO",3,0,4,0,7
"SAN MARTINO DI FINITA",0,0,3,0,3
"SAN NICOLA ARCELLA",10,0,0,0,10
"SAN PIETRO IN AMANTEA",0,0,0,0,0
"SAN PIETRO IN GUARANO",13,1,0,3,17
"SAN SOSTI",0,0,0,0,0
"SAN VINCENZO LA COSTA",0,0,0,0,0
"SANGINETO",0,0,0,0,0
"SANT'AGATA DI ESARO",2,0,0,1,3
"SANTA CATERINA ALBANESE",0,0,2,0,2
"SANTA DOMENICA TALAO",0,0,0,0,0
"SANTA MARIA DEL CEDRO",6,0,5,0,11
"SANTA SOFIA D'EPIRO",1,0,2,0,3
"SANTO STEFANO DI ROGLIANO",0,0,5,0,5
"SARACENA",0,0,0,0,0
"SCALA COELI",0,2,2,0,4
"SCALEA",22,0,1,0,23
"SCIGLIANO",0,0,0,0,0
"SERRA D'AIELLO",0,0,0,0,0
"SPEZZANO ALBANESE",2,0,0,0,2
