"Comune","A domicilio","Deceduti","Guariti/Dimessi","Ricoverati","Totale casi"
"ACQUAFORMOSA",0,0,0,0,0
"ACQUAPPESA",0,0,0,0,0
"ACRI",2,0,6,0,8
"AIELLO CALABRO",0,0,0,0,0
"AIETA",0,0,0,0,0
"ALBIDONA",0,0,0,0,0
"ALESSANDRIA DEL CARRETTO",0,0,0,0,0
"ALTILIA",0,0,1,0,1
"ALTOMONTE",0,0,5,0,5
"AMANTEA",67,2,5,0,74
"AMENDOLARA",0,0,0,0,0
"APRIGLIANO",0,0,0,0,0
"BELMONTE CALABRO",0,0,0,0,0
"BELSITO",0,1,6,0,7
"BELVEDERE MARITTIMO",1,0,1,0,2
"BIANCHI",0,0,0,0,0
"BISIGNANO",0,0,11,0,11
"BOCCHIGLIERO",0,4,18,0,22
"BONIFATI",0,0,0,0,0
"BUONVICINO",9,1,0,0,10
"CALOPEZZATI",0,0,0,0,0
"CALOVETO",0,0,0,0,0
"CAMPANA",0,0,0,0,0
"CANNA",0,0,0,0,0
"CARIATI",0,1,4,0,5
"CAROLEI",0,0,0,0,0
"CARPANZANO",0,0,3,0,3
"CASALI DEL MANCO",0,0,3,0,3
"CASSANO ALLO IONIO",8,0,3,0,11
"CASTIGLIONE COSENTINO",0,0,0,0,0
"CASTROLIBERO",4,0,4,0,8
"CASTROREGIO",0,0,0,0,0
"CASTROVILLARI",0,0,3,0,3
"CELICO",0,0,0,0,0
"CELLARA",0,0,0,0,0
"CERCHIARA DI CALABRIA",0,0,0,0,0
"CERISANO",0,0,0,0,0
"CERVICATI",0,0,0,0,0
"CERZETO",0,0,0,0,0
"CETRARO",3,1,2,0,6
"CIVITA",0,0,0,0,0
"CLETO",0,0,0,0,0
"COLOSIMI",0,0,1,0,1
"CORIGLIANO-ROSSANO",39,3,44,2,88
"COSENZA",14,2,46,1,63
"CROPALATI",1,0,0,0,1
"CROSIA",2,0,1,0,3
"DIAMANTE",4,0,2,1,7
"DIPIGNANO",0,0,4,0,4
"DOMANICO",0,0,0,0,0
"DONNICI",0,0,0,0,0
"FAGNANO CASTELLO",0,1,6,0,7
"FALCONARA ALBANESE",0,0,0,0,0
"FIGLINE VEGLIATURO",0,0,5,0,5
"FIRMO",0,0,0,0,0
"FIUMEFREDDO BRUZIO",0,0,1,0,1
"FRANCAVILLA MARITTIMA",0,1,2,0,3
"FRASCINETO",0,0,1,0,1
"FUSCALDO",2,0,3,0,5
"GRIMALDI",1,0,1,0,2
"GRISOLIA",5,0,0,0,5
"GUARDIA PIEMONTESE",0,0,0,0,0
"LAGO",0,0,0,0,0
"LAINO BORGO",0,0,0,0,0
"LAINO CASTELLO",0,0,0,0,0
"LAPPANO",0,0,0,0,0
"LATTARICO",0,0,1,0,1
"LONGOBARDI",0,0,0,0,0
"LONGOBUCCO",0,0,0,0,0
"LUNGRO",0,0,0,0,0
"LUZZI",1,0,5,0,6
"MAIERA'",1,0,0,0,1
"MALITO",0,0,0,0,0
"MALVITO",0,0,0,0,0
"MANDATORICCIO",2,0,1,1,4
"MANGONE",0,0,3,0,3
"MARANO MARCHESATO",0,1,4,0,5
"MARANO PRINCIPATO",1,0,2,0,3
"MARZI",0,1,9,0,10
"MENDICINO",0,0,1,0,1
"MONGRASSANO",0,0,0,0,0
"MONTALTO UFFUGO",11,0,10,1,22
"MONTEGIORDANO",0,0,0,0,0
"MORANO CALABRO",0,0,0,0,0
"MORMANNO",0,0,0,0,0
"MOTTAFOLLONE",0,0,0,0,0
"NOCARA",0,0,0,0,0
"ORIOLO CALABRO",0,1,27,0,28
"ORSOMARSO",0,0,0,0,0
"PALUDI",1,0,0,0,1
"PANETTIERI",0,0,0,0,0
"PAOLA",0,1,15,0,16
"PAPASIDERO",1,0,0,0,1
"PARENTI",0,0,2,0,2
"PATERNO CALABRO",0,0,0,0,0
"PEDIVIGLIANO",0,0,0,0,0
"PIANE CRATI",0,0,6,1,7
"PIETRAFITTA",1,0,0,0,1
"PIETRAPAOLA",0,0,0,0,0
"PLATACI",2,0,0,0,2
"PRAIA A MARE",1,0,1,0,2
"RENDE",35,2,7,2,46
"ROCCA IMPERIALE",0,0,0,0,0
"ROGGIANO GRAVINA",0,0,2,0,2
"ROGLIANO",0,1,36,0,37
"ROSE",3,0,0,0,3
"ROSETO CAPO SPULICO",0,0,1,0,1
"ROTA GRECA",0,0,3,0,3
"ROVITO",0,0,0,0,0
"SAN BASILE",0,0,0,0,0
"SAN BENEDETTO ULLANO",0,0,0,0,0
"SAN COSMO ALBANESE",0,0,0,0,0
"SAN DEMETRIO CORONE",0,0,0,0,0
"SAN DONATO DI NINEA",0,0,0,0,0
"SAN FILI",0,0,0,0,0
"SAN GIORGIO ALBANESE",0,0,0,0,0
"SAN GIOVANNI IN FIORE",0,0,0,0,0
"SAN LORENZO BELLIZZI",0,0,0,0,0
"SAN LORENZO DEL VALLO",0,0,0,0,0
"SAN LUCIDO",1,4,50,0,55
"SAN MARCO ARGENTANO",0,0,4,0,4
"SAN MARTINO DI FINITA",0,0,3,0,3
"SAN NICOLA ARCELLA",1,0,0,0,1
"SAN PIETRO IN AMANTEA",0,0,0,0,0
"SAN PIETRO IN GUARANO",0,1,0,0,1
"SAN SOSTI",0,0,0,0,0
"SAN VINCENZO LA COSTA",0,0,0,0,0
"SANGINETO",0,0,0,0,0
"SANT'AGATA DI ESARO",0,0,0,0,0
"SANTA CATERINA ALBANESE",0,0,2,0,2
"SANTA DOMENICA TALAO",0,0,0,0,0
"SANTA MARIA DEL CEDRO",1,0,4,1,6
"SANTA SOFIA D'EPIRO",1,0,1,0,2
"SANTO STEFANO DI ROGLIANO",0,0,5,0,5
"SARACENA",0,0,0,0,0
"SCALA COELI",0,2,2,0,4
"SCALEA",3,0,0,1,4
"SCIGLIANO",0,0,0,0,0
"SERRA D'AIELLO",0,0,0,0,0
"SPEZZANO ALBANESE",0,0,0,0,0
