Data;Guariti per settimana
10 - 16 mar;0
17 - 23 mar;0
24 - 30 mar;0
31 mar - 6 apr;3
7 - 13 apr;2
14 - 20 apr;13
21 - 27 apr;9
28 apr - 4 mag;27
5 - 11 mag;20
12 - 18 mag;14
19 - 25 mag;13
26 mag - 1 giu;6
2 - 8 giu;3
9 - 15 giu;2
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;1
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;0
18 - 24 ago;2
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;1
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;18
6 - 12 ott;5
13 - 19 ott;2
20 - 26 ott;13
27 ott - 2 nov;0
3 - 9 nov;18
10 - 16 nov;30
17 - 23 nov;64
24 - 30 nov;255
1 - 7 dic;359
8 - 14 dic;332
15 - 21 dic;364
22 - 28 dic;163
29 dic - 4 gen;118
5 -11 gen;94
12 - 18 gen;96
19 - 25 gen;170
26 gen - 1 feb;149
2 - 8 feb;100
9 - 15 feb;80
16 - 22 feb;38
23 feb - 1 mar;54
2 - 8 mar;40
9 - 15 mar;33
16 - 22 mar;67
23 - 29 mar;176
30 mar - 5 apr;238
6 - 12 apr;346
13 - 19 apr;321
20 - 26 apr;401
27 apr - 3 mag;369
