Data;Ricoveri per settimana
10 - 16 mar;5
17 - 23 mar;18
24 - 30 mar;18
31 mar - 6 apr;19
7 - 13 apr;17
14 - 20 apr;14
21 - 27 apr;13
28 apr - 4 mag;7
5 - 11 mag;5
12 - 18 mag;2
19 - 25 mag;1
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;1
25 - 31 ago;1
1 - 7 set;1
8 - 14 set;0
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;0
6 - 12 ott;0
13 - 19 ott;0
20 - 26 ott;0
27 ott - 2 nov;0
3 - 9 nov;20
10 - 16 nov;32
17 - 23 nov;53
24 - 30 nov;40
1 - 7 dic;35
8 - 14 dic;38
15 - 21 dic;37
22 - 28 dic;24
29 dic - 4 gen;22
5 -11 gen;20
12 - 18 gen;21
19 - 25 gen;18
26 gen - 1 feb;16
2 - 8 feb;9
9 - 15 feb;7
16 - 22 feb;6
23 feb - 1 mar;9
2 - 8 mar;16
9 - 15 mar;22
16 - 22 mar;30
23 - 29 mar;36
30 mar - 5 apr;40
6 - 12 apr;37
13 - 19 apr;42
20 - 26 apr;45
27 apr - 3 mag;35
4 - 10 mag;33
11 - 17 mag;24
18 - 24 mag;21
