Data;Casi per settimana
10 - 16 mar;4
17 - 23 mar;14
24 - 30 mar;18
31 mar - 6 apr;10
7 - 13 apr;4
14 - 20 apr;3
21 - 27 apr;1
28 apr - 4 mag;1
5 - 11 mag;2
12 - 18 mag;2
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;2
23 - 29 giu;1
30 giu - 6 lug;0
7 - 13 lug;1
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;1
11 - 17 ago;7
18 - 24 ago;3
25 - 31 ago;7
1 - 7 set;2
8 - 14 set;4
15 - 21 set;6
22 - 28 set;1
29 set - 5 ott;7
6 - 12 ott;34
13 - 19 ott;54
20 - 26 ott;90
27 ott - 2 nov;118
3 - 9 nov;200
10 - 16 nov;215
17 - 23 nov;231
24 - 30 nov;139
1 - 7 dic;108
8 - 14 dic;89
15 - 21 dic;114
22 - 28 dic;145
29 dic - 4 gen;135
5 -11 gen;167
12 - 18 gen;166
19 - 25 gen;140
26 gen - 1 feb;122
2 - 8 feb;128
9 - 15 feb;117
16 - 22 feb;89
23 feb - 1 mar;120
2 - 8 mar;86
9 - 15 mar;86
16 - 22 mar;81
23 - 29 mar;94
30 mar - 5 apr;122
6 - 12 apr;111
13 - 19 apr;177
20 - 26 apr;160
27 apr - 3 mag;152
