Data;Casi per settimana;N. abitanti;Casi per 100.000 abitanti
10 - 16 mar;32;530.967;6
17 - 23 mar;62;530.967;12
24 - 30 mar;97;530.967;18
31 mar - 6 apr;50;530.967;9
7 - 13 apr;22;530.967;4
14 - 20 apr;NA;530.967;NA
21 - 27 apr;7;530.967;1
28 apr - 4 mag;6;530.967;1
5 - 11 mag;8;530.967;2
12 - 18 mag;8;530.967;2
19 - 25 mag;2;530.967;0
26 mag - 1 giu;1;530.967;0
2 - 8 giu;1;530.967;0
9 - 15 giu;1;530.967;0
16 - 22 giu;11;530.967;2
23 - 29 giu;5;530.967;1
30 giu - 6 lug;0;530.967;0
7 - 13 lug;4;530.967;1
14 - 20 lug;0;530.967;0
21 - 27 lug;1;530.967;0
28 lug - 3 ago;0;530.967;0
4 - 10 ago;5;530.967;1
11 - 17 ago;35;530.967;7
18 - 24 ago;15;530.967;3
25 - 31 ago;35;530.967;7
1 - 7 set;12;530.967;2
8 - 14 set;19;530.967;4
15 - 21 set;31;530.967;6
22 - 28 set;6;530.967;1
29 set - 5 ott;37;530.967;7
6 - 12 ott;179;530.967;34
13 - 19 ott;288;530.967;54
20 - 26 ott;480;530.967;90
27 ott - 2 nov;625;530.967;118
3 - 9 nov;1060;530.967;200
10 - 16 nov;1140;530.967;215
17 - 23 nov;1229;530.967;231
24 - 30 nov;738;530.967;139
1 - 7 dic;576;530.967;108
8 - 14 dic;473;530.967;89
15 - 21 dic;605;530.967;114
22 - 28 dic;769;530.967;145
29 dic - 4 gen 2021;718;530.967;135
5 -11 gen;885;530.967;167
12 - 18 gen;880;530.967;166
19 - 25 gen;729;530.967;137
26 gen - 1 feb;645;530.967;121
2 - 8 feb;682;530.967;128
9 - 15 feb;623;530.967;117
16 - 22 feb;473;530.967;89
23 feb - 1 mar;637;530.967;120
2 - 8 mar;455;530.967;86
9 - 15 mar;458;530.967;86
16 - 22 mar;425;530.967;80
23 - 29 mar;497;530.967;94
30 mar - 5 apr;642;530.967;121
6 - 12 apr;592;530.967;111
