data;Nuovi casi;Deceduti;Dimessi / Guariti;Ricoverati;Terapia intensiva
10/03/20;1;0;1;2;0
11/03/20;3;0;0;4;0
12/03/20;5;0;0;4;0
13/03/20;2;0;0;6;0
14/03/20;5;0;0;5;1
15/03/20;4;1;0;9;1
16/03/20;0;0;0;9;2
17/03/20;24;0;0;16;3
18/03/20;1;0;1;15;4
19/03/20;10;0;0;16;4
20/03/20;16;0;0;18;5
21/03/20;11;1;3;16;3
22/03/20;4;1;0;19;4
23/03/20;6;0;0;21;5
24/03/20;3;1;0;24;5
25/03/20;8;1;2;22;5
26/03/20;18;0;0;25;6
27/03/20;17;2;0;25;6
28/03/20;15;1;0;28;6
29/03/20;34;1;0;31;4
30/03/20;1;0;0;33;5
31/03/20;5;0;3;32;6
01/04/20;6;1;1;34;6
02/04/20;6;0;0;35;6
03/04/20;11;1;0;35;4
04/04/20;4;0;2;35;4
05/04/20;15;0;1;35;4
06/04/20;6;0;1;33;5
07/04/20;0;0;0;35;4
08/04/20;5;0;0;37;4
09/04/20;2;0;2;37;4
10/04/20;6;4;0;36;3
11/04/20;4;0;0;37;4
12/04/20;3;0;1;36;4
13/04/20;0;0;5;32;3
14/04/20;5;0;0;32;3
15/04/20;8;0;5;30;3
16/04/20;-7;0;0;30;4
17/04/20;-29;0;0;32;3
18/04/20;0;0;0;33;2
19/04/20;1;0;0;33;2
20/04/20;2;0;8;33;2
21/04/20;0;0;9;31;2
22/04/20;4;0;4;29;2
23/04/20;1;0;0;28;2
24/04/20;0;0;1;27;2
25/04/20;1;0;3;31;2
26/04/20;0;0;4;27;3
27/04/20;1;0;6;24;3
28/04/20;0;1;0;25;3
29/04/20;1;0;7;24;3
30/04/20;1;0;0;24;3
01/05/20;1;0;3;22;1
02/05/20;0;0;10;21;2
03/05/20;0;0;3;19;2
04/05/20;3;0;1;18;2
05/05/20;1;0;9;18;2
06/05/20;2;0;0;17;2
07/05/20;1;0;1;16;2
08/05/20;1;0;4;12;2
09/05/20;3;0;5;12;2
10/05/20;0;0;2;12;2
11/05/20;0;0;8;11;1
12/05/20;3;0;2;11;1
13/05/20;1;0;0;11;1
14/05/20;2;1;9;8;1
15/05/20;0;0;1;7;1
16/05/20;2;0;10;8;1
17/05/20;0;0;29;8;1
18/05/20;0;0;11;7;1
19/05/20;1;0;4;5;1
20/05/20;1;1;16;6;0
21/05/20;0;0;0;6;0
22/05/20;0;0;8;6;0
23/05/20;0;0;4;5;0
24/05/20;0;0;6;5;0
25/05/20;0;0;1;5;0
26/05/20;0;0;0;5;0
27/05/20;1;0;11;4;0
28/05/20;0;0;1;3;0
29/05/20;0;1;1;1;0
30/05/20;0;0;5;0;0
31/05/20;0;0;1;0;0
01/06/20;0;0;0;0;0
02/06/20;0;0;8;0;0
03/06/20;0;0;1;0;0
04/06/20;0;0;1;3;0
05/06/20;1;0;0;3;0
06/06/20;0;0;0;3;0
07/06/20;0;0;0;3;0
08/06/20;0;0;0;3;0
09/06/20;0;0;0;3;0
10/06/20;0;0;0;3;0
11/06/20;1;0;2;1;0
12/06/20;0;0;2;1;0
13/06/20;0;0;1;0;0
14/06/20;0;0;0;0;0
15/06/20;0;0;1;2;0
16/06/20;0;0;0;2;0
17/06/20;0;0;0;2;0
18/06/20;2;0;0;2;0
19/06/20;0;0;0;2;0
20/06/20;2;0;2;1;0
21/06/20;6;0;0;1;0
22/06/20;1;0;0;2;0
23/06/20;1;0;0;2;0
24/06/20;0;0;0;2;0
25/06/20;0;0;0;2;0
26/06/20;3;0;0;2;0
27/06/20;1;0;0;2;0
28/06/20;0;0;1;2;0
29/06/20;0;0;0;2;0
30/06/20;1;0;0;2;0
01/07/20;-1;0;0;2;0
02/07/20;0;0;1;2;0
03/07/20;0;0;0;2;0
04/07/20;0;0;0;2;0
05/07/20;0;0;0;2;0
06/07/20;0;0;0;3;0
07/07/20;1;0;0;3;0
08/07/20;1;0;0;3;0
09/07/20;0;0;0;3;0
10/07/20;0;0;0;3;0
11/07/20;2;0;0;3;0
12/07/20;0;0;0;3;0
13/07/20;0;0;0;3;0
14/07/20;0;0;0;4;0
15/07/20;0;0;0;4;0
16/07/20;0;0;0;4;0
17/07/20;0;0;0;4;0
18/07/20;0;0;1;2;0
19/07/20;0;0;2;2;0
20/07/20;0;0;1;1;0
21/07/20;0;0;0;1;0
22/07/20;0;0;0;1;0
23/07/20;1;0;0;1;0
24/07/20;0;0;0;1;0
25/07/20;0;0;0;1;0
26/07/20;0;0;0;1;0
27/07/20;0;0;0;1;0
28/07/20;0;0;0;1;0
29/07/20;0;0;0;1;0
30/07/20;0;0;0;1;0
31/07/20;0;0;0;1;0
01/08/20;0;0;0;1;0
02/08/20;0;0;0;1;0
03/08/20;0;0;3;1;0
04/08/20;1;0;1;2;0
05/08/20;0;0;0;2;0
06/08/20;0;0;4;2;0
07/08/20;1;0;0;2;0
08/08/20;2;0;0;2;0
09/08/20;0;0;0;2;0
10/08/20;1;0;0;2;0
11/08/20;8;0;0;2;0
12/08/20;3;0;0;2;0
13/08/20;5;0;2;2;0
14/08/20;14;0;3;1;0
15/08/20;1;0;0;2;0
16/08/20;2;0;0;2;0
17/08/20;2;0;0;2;0
18/08/20;2;0;0;2;0
19/08/20;4;0;1;2;0
20/08/20;2;0;0;3;0
21/08/20;1;0;0;3;0
22/08/20;1;0;6;3;0
23/08/20;5;0;0;3;0
24/08/20;0;0;0;3;0
25/08/20;2;0;0;3;0
26/08/20;4;0;1;2;0
27/08/20;3;0;0;2;0
28/08/20;4;0;0;2;0
29/08/20;4;0;0;2;0
30/08/20;15;0;2;2;0
31/08/20;3;0;1;3;0
01/09/20;0;0;1;3;0
02/09/20;3;0;2;3;0
03/09/20;1;0;3;3;0
04/09/20;3;0;0;3;0
05/09/20;3;0;6;2;0
06/09/20;2;0;0;2;0
07/09/20;0;0;0;2;0
08/09/20;3;0;0;3;0
09/09/20;0;0;1;3;0
10/09/20;3;0;0;4;0
11/09/20;2;0;0;4;0
12/09/20;4;0;0;4;0
13/09/20;6;0;2;4;0
14/09/20;1;0;0;4;0
15/09/20;1;0;5;5;0
16/09/20;3;0;0;6;0
17/09/20;3;0;0;6;0
18/09/20;4;0;5;6;0
19/09/20;6;0;1;7;0
20/09/20;5;0;5;7;0
21/09/20;9;0;1;7;0
22/09/20;0;0;0;7;0
23/09/20;1;0;2;5;0
24/09/20;1;0;9;6;0
25/09/20;3;0;2;7;0
26/09/20;0;0;1;7;0
27/09/20;2;0;0;8;0
28/09/20;0;0;1;8;0
29/09/20;0;0;7;6;0
30/09/20;3;0;2;5;0
01/10/20;2;0;0;5;0
02/10/20;4;0;1;5;0
03/10/20;7;0;3;5;1
04/10/20;8;0;0;7;1
05/10/20;12;0;3;8;1
06/10/20;15;1;3;9;0
07/10/20;12;0;0;9;0
08/10/20;13;0;1;12;0
09/10/20;34;1;0;13;0
10/10/20;54;0;1;12;0
11/10/20;20;0;0;12;0
12/10/20;30;0;0;14;0
13/10/20;22;0;4;15;0
14/10/20;39;0;2;18;0
15/10/20;22;0;0;23;1
16/10/20;56;0;50;23;1
17/10/20;34;0;0;24;1
18/10/20;46;0;0;24;1
19/10/20;70;0;8;27;1
20/10/20;50;0;0;30;1
21/10/20;50;0;0;31;1
22/10/20;64;0;0;34;2
23/10/20;104;0;0;41;2
24/10/20;49;0;0;42;2
25/10/20;77;0;0;44;3
26/10/20;86;0;0;44;3
27/10/20;148;2;84;43;4
28/10/20;84;0;0;43;4
29/10/20;27;0;0;48;4
30/10/20;98;1;0;52;4
31/10/20;60;0;26;60;4
01/11/20;118;0;0;62;5
02/11/20;90;1;2;60;5
03/11/20;98;0;208;68;2
04/11/20;119;1;5;63;2
05/11/20;185;1;0;65;2
06/11/20;122;2;0;62;6
07/11/20;182;1;73;66;5
08/11/20;181;1;94;70;5
09/11/20;173;1;12;70;5
10/11/20;202;4;0;81;5
11/11/20;166;1;53;84;5
12/11/20;201;1;0;92;6
13/11/20;125;1;97;115;10
14/11/20;142;3;0;119;10
15/11/20;168;2;235;111;11
16/11/20;136;3;36;123;9
17/11/20;213;1;172;112;9
18/11/20;164;5;69;113;9
19/11/20;260;2;0;116;9
20/11/20;165;4;93;133;10
21/11/20;158;0;0;131;10
22/11/20;149;0;119;146;11
23/11/20;120;4;70;148;13
24/11/20;135;1;201;152;12
25/11/20;131;2;156;149;11
26/11/20;164;2;113;154;9
27/11/20;119;1;0;152;10
28/11/20;71;5;195;141;9
29/11/20;21;2;174;139;9
30/11/20;97;1;189;136;10
01/12/20;125;0;177;135;10
02/12/20;67;0;40;134;10
03/12/20;77;4;356;132;6
04/12/20;133;3;143;129;6
05/12/20;72;3;157;131;6
06/12/20;53;2;181;126;9
07/12/20;49;2;322;125;9
08/12/20;77;0;0;126;11
09/12/20;40;0;227;127;11
10/12/20;75;2;335;126;10
11/12/20;32;1;143;122;8
12/12/20;83;2;138;114;8
13/12/20;75;1;8;110;10
14/12/20;91;2;109;112;9
15/12/20;91;0;125;112;9
16/12/20;47;1;117;106;10
17/12/20;42;1;0;97;8
18/12/20;120;1;368;99;7
19/12/20;103;2;0;99;7
20/12/20;147;0;239;99;7
21/12/20;55;0;0;108;9
22/12/20;165;2;0;107;8
23/12/20;86;0;318;110;6
24/12/20;120;0;1;108;6
25/12/20;127;2;81;107;7
26/12/20;120;4;159;105;5
27/12/20;62;1;98;105;5
28/12/20;89;0;0;108;4
