Data;Decessi per settimana
10 - 16 mar;1
17 - 23 mar;2
24 - 30 mar;6
31 mar - 6 apr;2
7 - 13 apr;4
14 - 20 apr;0
21 - 27 apr;0
28 apr - 4 mag;1
5 - 11 mag;0
12 - 18 mag;1
19 - 25 mag;1
26 mag - 1 giu;1
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;0
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;0
22 - 28 set;0
29 set - 5 ott;0
6 - 12 ott;2
13 - 19 ott;0
20 - 26 ott;0
27 ott - 2 nov;4
3 - 9 nov;7
10 - 16 nov;15
17 - 23 nov;16
24 - 30 nov;14
1 - 7 dic;14
8 - 14 dic;8
15 - 21 dic;5
22 - 28 dic;9
29 dic - 4 gen;22
5 -11 gen;12
12 - 18 gen;8
19 - 25 gen;10
26 gen - 1 feb;9
2 - 8 feb;6
9 - 15 feb;8
16 - 22 feb;5
23 feb - 1 mar;8
2 - 8 mar;11
9 - 15 mar;9
16 - 22 mar;11
23 - 29 mar;6
30 mar - 5 apr;9
6 - 12 apr;11
13 - 19 apr;10
20 - 26 apr;12
27 apr - 3 mag;8
4 - 10 mag;11
11 - 17 mag;10
18 - 24 mag;4
25 - 31 mag;3
1 - 7 giu;7
8 - 14 giu;9
15 - 21 giu;1
22 - 28 giu;0
29 giu - 5 lug;3
6 - 12 lug;2
