Data;Guariti per settimana
10 - 16 mar;1
17 - 23 mar;4
24 - 30 mar;2
31 mar - 6 apr;8
7 - 13 apr;8
14 - 20 apr;13
21 - 27 apr;27
28 apr - 4 mag;24
5 - 11 mag;29
12 - 18 mag;62
19 - 25 mag;39
26 mag - 1 giu;19
2 - 8 giu;10
9 - 15 giu;6
16 - 22 giu;2
23 - 29 giu;1
30 giu - 6 lug;1
7 - 13 lug;0
14 - 20 lug;4
21 - 27 lug;0
28 lug - 3 ago;3
4 - 10 ago;5
11 - 17 ago;5
18 - 24 ago;7
25 - 31 ago;4
1 - 7 set;12
8 - 14 set;3
15 - 21 set;17
22 - 28 set;15
29 set - 5 ott;16
6 - 12 ott;5
13 - 19 ott;64
20 - 26 ott;0
27 ott - 2 nov;112
3 - 9 nov;392
10 - 16 nov;421
17 - 23 nov;523
24 - 30 nov;1.028
1 - 7 dic;1.376
8 - 14 dic;960
15 - 21 dic;849
22 - 28 dic;657
29 dic - 4 gen;549
5 -11 gen;497
12 - 18 gen;671
19 - 25 gen;869
26 gen - 1 feb;940
2 - 8 feb;792
9 - 15 feb;673
16 - 22 feb;665
23 feb - 1 mar;711
2 - 8 mar;549
9 - 15 mar;497
16 - 22 mar;567
23 - 29 mar;484
30 mar - 5 apr;488
6 - 12 apr;384
13 - 19 apr;452
20 - 26 apr;621
27 apr - 3 mag;719
4 - 10 mag;911
11 - 17 mag;870
18 - 24 mag;765
