Data;Casi per settimana
10 - 16 mar;20
17 - 23 mar;72
24 - 30 mar;96
31 mar - 6 apr;53
7 - 13 apr;20
14 - 20 apr;-20
21 - 27 apr;7
28 apr - 4 mag;6
5 - 11 mag;8
12 - 18 mag;8
19 - 25 mag;2
26 mag - 1 giu;1
2 - 8 giu;1
9 - 15 giu;1
16 - 22 giu;11
23 - 29 giu;5
30 giu - 6 lug;0
7 - 13 lug;4
14 - 20 lug;0
21 - 27 lug;1
28 lug - 3 ago;0
4 - 10 ago;5
11 - 17 ago;35
18 - 24 ago;15
25 - 31 ago;35
1 - 7 set;12
8 - 14 set;19
15 - 21 set;31
22 - 28 set;7
29 set - 5 ott;36
6 - 12 ott;178
13 - 19 ott;289
20 - 26 ott;480
27 ott - 2 nov;625
3 - 9 nov;1.060
10 - 16 nov;1.140
17 - 23 nov;1.229
24 - 30 nov;738
1 - 7 dic;576
8 - 14 dic;473
15 - 21 dic;605
22 - 28 dic;769
29 dic - 4 gen;718
5 -11 gen;885
12 - 18 gen;879
19 - 25 gen;746
26 gen - 1 feb;647
2 - 8 feb;682
9 - 15 feb;623
16 - 22 feb;474
23 feb - 1 mar;637
2 - 8 mar;455
9 - 15 mar;458
16 - 22 mar;430
23 - 29 mar;497
30 mar - 5 apr;646
6 - 12 apr;592
13 - 19 apr;941
20 - 26 apr;851
27 apr - 3 mag;807
4 - 10 mag;678
11 - 17 mag;494
18 - 24 mag;384
25 - 30 mag;327
31 mag - 6 giu;227
7 - 13 giu;171
14 - 20 giu;122
