data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva
10/03/20;3,27250112;3,27250112;1;0;1;2;0
11/03/20;3,086842095;3,086842095;3;0;0;4;0
12/03/20;2,796599423;2,796599423;5;0;0;4;0
13/03/20;2,548558308;2,544547789;2;0;0;6;0
14/03/20;2,420817522;2,413886134;5;0;0;5;1
15/03/20;2,297756127;2,288839883;4;1;0;9;1
16/03/20;2,209045196;2,192238879;0;0;0;9;2
17/03/20;2,10605162;2,08309206;24;0;0;16;3
18/03/20;1,978726104;1,948653936;1;0;1;15;4
19/03/20;1,846996898;1,80965444;10;0;0;16;4
20/03/20;1,720058368;1,679120977;16;0;0;18;5
21/03/20;1,583458041;1,541067035;11;1;3;16;3
22/03/20;1,465097308;1,423425401;4;1;0;19;4
23/03/20;1,358817395;1,315023859;6;0;0;21;5
24/03/20;1,258277384;1,213928391;3;1;0;24;5
25/03/20;1,172660728;1,12540154;8;1;2;22;5
26/03/20;1,106484727;1,051906797;18;0;0;25;6
27/03/20;1,051514728;0,988620972;17;2;0;25;6
28/03/20;0,996979424;0,92815608;15;1;0;28;6
29/03/20;0,944985781;0,872332116;34;1;0;31;4
30/03/20;0,906206988;0,835746749;1;0;0;33;5
31/03/20;0,86748346;0,801634469;5;0;3;32;6
01/04/20;0,830993621;0,771912638;6;1;1;34;6
02/04/20;0,79500785;0,743907292;6;0;0;35;6
03/04/20;0,76072408;0,716787944;11;1;0;35;4
04/04/20;0,7336589;0,698218316;4;0;2;35;4
05/04/20;0,705876029;0,678234328;15;0;1;35;4
06/04/20;0,67295766;0,651612166;6;0;1;33;5
07/04/20;0,645375966;0,62652203;0;0;0;35;4
08/04/20;0,617578988;0,600354313;5;0;0;37;4
09/04/20;0,578702464;0,568662381;2;0;2;37;4
10/04/20;0,526776323;0,523718547;6;4;0;36;3
11/04/20;0,473776188;0,472252578;4;0;0;37;4
12/04/20;0,430366151;0,426661209;3;0;1;36;4
13/04/20;0,383740229;0,367895694;0;0;5;32;3
14/04/20;0,364600024;0,339226386;5;0;0;32;3
15/04/20;0,359772853;0,326053089;8;0;5;30;3
16/04/20;0,364515555;0,323054735;-7;0;0;30;4
17/04/20;0,361611632;0,307147995;-29;0;0;32;3
18/04/20;0,363822477;0,290453979;0;0;0;33;2
19/04/20;0,369568641;0,254892612;1;0;0;33;2
20/04/20;0,372331517;0,236652958;2;0;8;33;2
21/04/20;0,401847287;0,242556127;0;0;9;31;2
22/04/20;0,429853017;0,264672377;4;0;4;29;2
23/04/20;0,459371061;0,30078302;1;0;0;28;2
24/04/20;0,490544132;0,347669897;0;0;1;27;2
25/04/20;0,528306495;0,40688321;1;0;3;31;2
26/04/20;0,564096102;0,46116944;0;0;4;27;3
27/04/20;0,533889958;0,452400519;1;0;6;24;3
28/04/20;0,53090357;0,473660623;0;1;0;25;3
29/04/20;0,544821787;0,513867725;1;0;7;24;3
30/04/20;0,574212461;0,572092935;1;0;0;24;3
01/05/20;0,656716059;0,709139749;1;0;3;22;1
02/05/20;0,728209949;0,824616587;0;0;10;21;2
03/05/20;0,769924165;0,886483846;0;0;3;19;2
04/05/20;0,832085395;1,014092382;3;0;1;18;2
05/05/20;0,903510548;1,139128647;1;0;9;18;2
06/05/20;0,930732994;1,227325395;2;0;0;17;2
07/05/20;0,932664934;1,273287929;1;0;1;16;2
08/05/20;0,94801339;1,320035616;1;0;4;12;2
09/05/20;0,977083541;1,36756649;3;0;5;12;2
10/05/20;0,990968454;1,358669353;0;0;2;12;2
11/05/20;0,941552594;1,270556533;0;0;8;11;1
12/05/20;0,893314793;1,123650184;3;0;2;11;1
