Data;Ricoveri per settimana
10 - 16 mar;0
17 - 23 mar;2
24 - 30 mar;5
31 mar - 6 apr;8
7 - 13 apr;8
14 - 20 apr;3
21 - 27 apr;1
28 apr - 4 mag;0
5 - 11 mag;0
12 - 18 mag;0
19 - 25 mag;0
26 mag - 1 giu;0
2 - 8 giu;0
9 - 15 giu;0
16 - 22 giu;0
23 - 29 giu;1
30 giu - 6 lug;0
7 - 13 lug;0
14 - 20 lug;0
21 - 27 lug;0
28 lug - 3 ago;0
4 - 10 ago;0
11 - 17 ago;0
18 - 24 ago;0
25 - 31 ago;0
1 - 7 set;0
8 - 14 set;0
15 - 21 set;1
22 - 28 set;4
29 set - 5 ott;5
6 - 12 ott;2
13 - 19 ott;0
20 - 26 ott;4
27 ott - 2 nov;5
3 - 9 nov;9
10 - 16 nov;15
17 - 23 nov;14
24 - 30 nov;16
1 - 7 dic;16
8 - 14 dic;12
15 - 21 dic;12
22 - 28 dic;6
29 dic - 4 gen;12
5 -11 gen;15
12 - 18 gen;20
19 - 25 gen;15
26 gen - 1 feb;16
2 - 8 feb;14
9 - 15 feb;10
16 - 22 feb;14
23 feb - 1 mar;16
2 - 8 mar;14
9 - 15 mar;15
16 - 22 mar;15
23 - 29 mar;15
30 mar - 5 apr;16
6 - 12 apr;15
13 - 19 apr;16
20 - 26 apr;16
27 apr - 3 mag;20
4 - 10 mag;19
11 - 17 mag;20
