data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati
10/03/20;;;-1;0;0;0
11/03/20;;;4;0;0;0
12/03/20;;;0;0;0;0
13/03/20;;;0;0;0;0
14/03/20;;;12;0;0;0
15/03/20;;;-11;0;0;0
16/03/20;;;0;0;0;0
17/03/20;;;0;0;0;0
18/03/20;;;2;0;0;0
19/03/20;1,731582;1,711916;0;0;0;0
20/03/20;1,41779;1,386119;0;0;0;0
21/03/20;1,258539;1,215328;3;0;0;2
22/03/20;1,154597;1,105689;3;0;0;2
23/03/20;1,094611;1,041931;6;0;0;2
24/03/20;1,06093;1,003832;1;0;0;2
25/03/20;1,060259;1,001889;2;0;0;2
26/03/20;1,098199;1,042947;5;1;0;3
27/03/20;1,127811;1,077978;1;0;0;3
28/03/20;1,161135;1,119615;10;0;0;3
29/03/20;1,183825;1,152944;0;0;0;3
30/03/20;1,195585;1,177599;5;0;0;5
31/03/20;1,208143;1,205902;0;0;0;5
01/04/20;1,249876;1,26792;0;0;0;5
02/04/20;1,301647;1,332446;4;0;0;4
03/04/20;1,323353;1,365742;6;1;0;4
04/04/20;1,28368;1,330982;3;0;0;7
05/04/20;1,230939;1,283069;3;3;1;7
06/04/20;1,147684;1,201356;0;-1;0;8
07/04/20;1,018128;1,06678;0;0;0;8
08/04/20;0,880109;0,922624;1;0;0;8
09/04/20;0,780136;0,818504;0;0;0;8
10/04/20;0,697416;0,730458;4;1;0;9
11/04/20;0,62467;0,652007;3;0;3;8
12/04/20;0,569956;0,590873;0;0;0;8
13/04/20;0,531409;0,545216;0;0;0;8
14/04/20;0,500466;0,506917;0;0;2;7
15/04/20;0,426148;0,426148;0;0;1;6
16/04/20;0,360483;0,360483;2;0;1;5
17/04/20;0,349659;0,349659;0;0;0;5
18/04/20;0,361047;0,361047;0;0;0;5
19/04/20;0,377614;0,377614;1;0;2;3
20/04/20;0,401886;0,401886;0;0;0;3
21/04/20;0,440733;0,440733;0;0;0;3
22/04/20;0,479692;0,479692;0;0;0;3
23/04/20;0,432755;0,432755;0;0;0;3
24/04/20;0,419046;0,419046;1;0;1;2
25/04/20;0,421489;0,421489;0;0;1;1
26/04/20;0,454039;0,454039;0;0;0;1
27/04/20;0,519803;0,519803;1;0;0;1
28/04/20;0,604017;0,604017;0;0;1;1
29/04/20;0,602651;0,602651;2;0;1;0
30/04/20;0,470407;0,470407;0;0;0;0
01/05/20;;;0;0;0;0
02/05/20;;;0;0;0;0
03/05/20;;;0;0;1;0
04/05/20;;;0;0;2;0
05/05/20;;;0;0;2;0
06/05/20;;;0;0;0;0
07/05/20;;;0;0;0;0
08/05/20;;;0;0;1;0
09/05/20;;;0;0;0;0
10/05/20;;;1;0;0;0
11/05/20;;;0;0;0;0
12/05/20;;;0;0;1;0
13/05/20;;;1;0;0;0
14/05/20;;;0;0;2;0
15/05/20;;;0;0;14;0
16/05/20;;;4;0;0;0
17/05/20;;;0;0;10;0
