Data;Rt_positivi;Rt_sintomatici;Nuovi_casi;Deceduti;Dimessi_Guariti;Ricoverati;Terapia_intensiva;Tamponi_giornalieri
24/02/20;;;0;0;0;0;0;1
25/02/20;;;0;0;0;0;0;1
26/02/20;;;0;0;0;0;0;1
27/02/20;2,259275;2,353989;0;0;0;0;0;11
28/02/20;2,29467;2,492289;1;0;0;0;0;7
29/02/20;2,42924;2,67326;0;0;0;0;0;6
01/03/20;2,584351;2,844471;0;0;0;0;0;8
02/03/20;2,715947;2,970025;0;0;0;0;0;4
03/03/20;2,829122;3,056591;0;0;0;0;0;0
04/03/20;2,838343;3,026493;0;0;0;0;0;7
05/03/20;2,774206;2,911024;1;0;0;1;0;7
06/03/20;2,662779;2,738821;2;0;0;2;0;46
07/03/20;2,82644;2,839884;0;0;0;2;0;14
08/03/20;2,945651;2,888653;5;0;0;5;0;0
09/03/20;3,085549;2,952308;2;0;2;8;0;60
10/03/20;3,211093;2,995254;2;0;0;8;2;187
11/03/20;3,322383;3,020486;6;0;0;10;2;45
12/03/20;3,325586;3,058957;14;0;-1;14;2;78
13/03/20;3,126918;2,941708;5;0;0;18;3;21
14/03/20;2,992492;2,848676;22;0;0;22;4;207
15/03/20;2,891844;2,775549;8;1;0;32;6;173
16/03/20;2,762297;2,666928;21;0;0;36;7;146
17/03/20;2,630679;2,549738;25;0;0;45;10;263
18/03/20;2,454164;2,388458;15;0;1;45;11;375
19/03/20;2,263538;2,210259;40;2;0;60;13;674
20/03/20;2,119962;2,074704;38;1;0;71;16;348
21/03/20;1,95381;1,916684;28;1;3;73;16;360
22/03/20;1,800344;1,770494;38;3;0;77;17;616
23/03/20;1,645288;1,622046;19;-1;0;82;20;407
24/03/20;1,530369;1,512144;27;3;0;88;21;413
25/03/20;1,431651;1,417163;32;1;2;93;23;572
26/03/20;1,344997;1,328775;42;3;0;101;23;875
27/03/20;1,27341;1,255262;101;4;0;103;22;968
