Data;Casi per settimana;N. abitanti;Casi per 100.000 abitanti
24 feb - 1 mar;1;1.894.110;0
2 - 8 mar;8;1.894.110;0
9 - 15 mar;59;1.894.110;3
16 - 22 mar;205;1.894.110;11
23 - 29 mar;341;1.894.110;18
30 mar - 5 apr;181;1.894.110;10
6 - 12 apr;128;1.894.110;7
13 - 19 apr;112;1.894.110;6
20 - 26 apr;54;1.894.110;3
27 apr - 3 mag;25;1.894.110;1
4 - 10 mag;18;1.894.110;1
11 - 17 mag;19;1.894.110;1
18 - 24 mag;6;1.894.110;0
25 - 31 mag;1;1.894.110;0
1 - 7 giu;1;1.894.110;0
8 - 14 giu;3;1.894.110;0
15 - 21 giu;12;1.894.110;1
22 - 28 giu;7;1.894.110;0
29 giu - 5 lug;3;1.894.110;0
6 - 12 lug;33;1.894.110;2
13 - 19 lug;23;1.894.110;1
20 - 26 lug;8;1.894.110;0
27 lug - 2 ago;23;1.894.110;1
3 - 9 ago;17;1.894.110;1
10 - 16 ago;61;1.894.110;3
17 - 23 ago;50;1.894.110;3
24 - 30 ago;63;1.894.110;3
31 ago - 6 set;146;1.894.110;8
7 - 13 set;92;1.894.110;5
14 - 20 set;117;1.894.110;6
21 - 27 set;120;1.894.110;6
28 set - 4 ott;111;1.894.110;6
5 - 11 ott;228;1.894.110;12
12 - 18 ott;470;1.894.110;25
19 - 25 ott;1.029;1.894.110;54
26 ott - 1 nov;1.521;1.894.110;80
2 - 8 nov;2.155;1.894.110;114
9 -15 nov;2.628;1.894.110;139
16 - 22 nov;3.803;1.894.110;201
23 - 29 nov;2.548;1.894.110;135
30 nov - 6 dic;2.079;1.894.110;110
7 - 13 dic;1.259;1.894.110;66
14 - 20 dic;1.355;1.894.110;72
21 - 27 dic;1.543;1.894.110;81
28 dic - 3 gen 2021;1.896;1.894.110;100
4 - 10 gen;2.344;1.894.110;124
11 - 17 gen;2.139;1.894.110;113
18 - 24 gen;1.998;1.894.110;105
25 - 31 gen;1.675;1.894.110;88
1 - 7 feb;1.444;1.894.110;76
8 - 14 feb;1.245;1.894.110;66
15 - 21 feb;1.150;1.894.110;61
22 - 28 feb;1.294;1.894.110;68
1 - 7 mar;1.490;1.894.110;79
8 - 14 mar;1.815;1.894.110;96
15 - 21 mar;2.326;1.894.110;123
22 - 28 mar;2.599;1.894.110;137
29 mar - 4 apr;2.794;1.894.110;148
5 - 11 apr;2.777;1.894.110;147
12 - 18 apr;3.308;1.894.110;175
