Data;Guariti per settimana
24 feb - 1 mar;0
2 - 8 mar;0
9 - 15 mar;1
16 - 22 mar;4
23 - 29 mar;7
30 mar - 5 apr;21
6 - 12 apr;29
13 - 19 apr;54
20 - 26 apr;96
27 apr - 3 mag;112
4 - 10 mag;121
11 - 17 mag;189
18 - 24 mag;152
25 - 31 mag;131
1 - 7 giu;54
8 - 14 giu;50
15 - 21 giu;19
22 - 28 giu;17
29 giu - 5 lug;3
6 - 12 lug;2
13 - 19 lug;8
20 - 26 lug;1
27 lug - 2 ago;4
3 - 9 ago;15
10 - 16 ago;15
17 - 23 ago;30
24 - 30 ago;13
31 ago - 6 set;28
7 - 13 set;46
14 - 20 set;51
21 - 27 set;35
28 set - 4 ott;79
5 - 11 ott;71
12 - 18 ott;127
19 - 25 ott;86
26 ott - 1 nov;160
2 - 8 nov;474
9 -15 nov;575
16 - 22 nov;736
23 - 29 nov;1.523
30 nov - 6 dic;2.394
7 - 13 dic;2.489
14 - 20 dic;2.238
21 - 27 dic;1.405
28 dic - 3 gen;1.780
4 - 10 gen;1.363
11 - 17 gen;1.497
18 - 24 gen;1.796
25 - 31 gen;3.145
1 - 7 feb;2.518
8 - 14 feb;2.273
15 - 21 feb;1.516
22 - 28 feb;1.380
1 - 7 mar;1.083
8 - 14 mar;880
15 - 21 mar;1.119
22 - 28 mar;993
29 mar - 4 apr;1.566
5 - 11 apr;1.648
12 - 18 apr;1.761
19 - 25 apr;2.233
26 apr - 2 mag;2.235
