Data;Ricoveri per settimana
24 feb - 1 mar;0
2 - 8 mar;5
9 - 15 mar;32
16 - 22 mar;77
23 - 29 mar;124
30 mar - 5 apr;174
6 - 12 apr;165
13 - 19 apr;142
20 - 26 apr;118
27 apr - 3 mag;95
4 - 10 mag;66
11 - 17 mag;56
18 - 24 mag;43
25 - 31 mag;22
1 - 7 giu;18
8 - 14 giu;15
15 - 21 giu;17
22 - 28 giu;4
29 giu - 5 lug;3
6 - 12 lug;4
13 - 19 lug;4
20 - 26 lug;3
27 lug - 2 ago;5
3 - 9 ago;9
10 - 16 ago;9
17 - 23 ago;11
24 - 30 ago;17
31 ago - 6 set;25
7 - 13 set;29
14 - 20 set;30
21 - 27 set;35
28 set - 4 ott;36
5 - 11 ott;41
12 - 18 ott;61
19 - 25 ott;106
26 ott - 1 nov;161
2 - 8 nov;233
9 -15 nov;342
16 - 22 nov;433
23 - 29 nov;405
30 nov - 6 dic;390
7 - 13 dic;339
14 - 20 dic;287
21 - 27 dic;255
28 dic - 3 gen;242
4 - 10 gen;256
11 - 17 gen;290
18 - 24 gen;279
25 - 31 gen;276
1 - 7 feb;233
8 - 14 feb;206
15 - 21 feb;167
22 - 28 feb;190
1 - 7 mar;217
8 - 14 mar;246
15 - 21 mar;311
22 - 28 mar;377
29 mar - 4 apr;429
5 - 11 apr;473
12 - 18 apr;455
19 - 25 apr;471
26 apr - 2 mag;434
