Data;Pfizer/BioNTech;Moderna;Vaxzevria (AstraZeneca);Janssen
27 dic - 2 gen;482;0;0;0
3 - 9 gen;9.926;0;0;0
10 - 16 gen;15.123;0;0;0
17 - 23 gen;6.755;5;0;0
24 - 30 gen;11.011;5;0;0
31 gen - 6 feb;19.122;173;0;0
7 - 13 feb;12.198;625;29;0
14 - 20 feb;8.600;998;469;0
21 - 27 feb;14.195;796;1.229;0
28 feb - 6 mar;25.987;2.371;6.357;0
7 - 13 mar;28.590;3.903;9.122;0
14 - 20 mar;24.489;2.281;2.933;0
21 - 27 mar;29.104;6.156;11.611;0
28 mar - 3 apr;32.981;6.143;11.501;0
4 - 10 apr;34.764;10.391;4.299;0
11 - 17 apr;43.596;2.509;8.915;0
18 - 24 apr;46.449;5.632;23.275;0
25 apr - 1 mag;55.093;10.166;27.464;94
2 - 8 mag;72.343;11.347;20.590;952
9 - 15 mag;80.027;8.143;24.987;4.279
16 - 22 mag;77.701;8.137;30.062;6.923
23 - 29 mag;73.676;16.353;23.612;8.529
30 mag - 5 giu;63.391;15.961;9.837;14.470
6 - 12 giu;85.194;6.634;8.996;12.804
13 - 19 giu;89.750;7.031;2.433;670
20 - 26 giu;90.486;7.659;4.746;552
27 giu - 3 lug;73.078;13.210;8.028;476
4 - 10 lug;62.137;10.234;16.124;220
11 - 17 lug;83.358;7.205;31.388;106
18 - 24 lug;93.364;6.786;25.884;214
