Data;Somministrazioni
27/12/20;281
28/12/20;6
02/01/21;166
03/01/21;6
04/01/21;1.052
05/01/21;1.467
06/01/21;930
07/01/21;2.187
08/01/21;2.136
09/01/21;1.926
10/01/21;931
11/01/21;2.161
12/01/21;2.063
13/01/21;2.038
14/01/21;2.635
15/01/21;2.796
16/01/21;2.394
17/01/21;867
18/01/21;1.270
19/01/21;1.112
20/01/21;1.399
21/01/21;960
22/01/21;658
23/01/21;400
24/01/21;44
25/01/21;1.070
26/01/21;1.809
27/01/21;1.457
28/01/21;2.236
29/01/21;2.049
30/01/21;2.180
31/01/21;1.110
01/02/21;2.499
02/02/21;2.289
03/02/21;2.768
04/02/21;3.555
05/02/21;3.802
06/02/21;2.906
07/02/21;859
08/02/21;1.849
09/02/21;2.148
10/02/21;2.509
11/02/21;2.330
12/02/21;1.710
13/02/21;1.396
14/02/21;464
15/02/21;1.140
16/02/21;1.734
17/02/21;1.834
18/02/21;1.821
19/02/21;1.508
20/02/21;1.419
21/02/21;610
22/02/21;2.037
23/02/21;1.590
24/02/21;1.850
25/02/21;2.881
26/02/21;3.063
27/02/21;3.989
28/02/21;2.306
01/03/21;2.724
02/03/21;4.367
03/03/21;5.002
04/03/21;5.467
05/03/21;6.229
06/03/21;8.427
07/03/21;3.336
08/03/21;5.414
09/03/21;6.321
10/03/21;6.551
11/03/21;7.264
12/03/21;5.151
13/03/21;6.849
14/03/21;2.709
15/03/21;3.553
16/03/21;3.835
17/03/21;3.984
18/03/21;4.399
19/03/21;4.186
20/03/21;6.695
21/03/21;4.457
22/03/21;4.887
23/03/21;5.254
24/03/21;7.611
25/03/21;7.392
26/03/21;7.912
27/03/21;8.590
28/03/21;2.594
29/03/21;5.613
30/03/21;6.154
31/03/21;8.804
01/04/21;8.495
02/04/21;8.185
03/04/21;8.884
04/04/21;1.762
05/04/21;3.501
06/04/21;7.452
07/04/21;6.516
08/04/21;9.391
09/04/21;7.936
10/04/21;11.371
11/04/21;4.166
12/04/21;6.897
13/04/21;6.775
14/04/21;8.166
15/04/21;7.593
16/04/21;10.301
17/04/21;10.853
18/04/21;5.840
19/04/21;7.844
20/04/21;7.845
21/04/21;11.565
22/04/21;9.621
23/04/21;12.918
24/04/21;18.993
25/04/21;15.830
26/04/21;10.198
27/04/21;9.947
28/04/21;12.522
29/04/21;11.946
30/04/21;14.924
01/05/21;16.621
02/05/21;12.500
03/05/21;14.743
04/05/21;16.353
05/05/21;13.599
06/05/21;13.252
07/05/21;16.087
08/05/21;18.286
09/05/21;9.615
10/05/21;13.130
11/05/21;15.126
12/05/21;16.319
13/05/21;15.872
14/05/21;19.944
15/05/21;27.100
16/05/21;13.773
17/05/21;14.911
18/05/21;15.379
19/05/21;18.348
20/05/21;16.892
21/05/21;21.342
22/05/21;22.141
23/05/21;11.365
24/05/21;17.691
25/05/21;16.390
26/05/21;18.576
27/05/21;17.514
28/05/21;20.936
29/05/21;19.086
30/05/21;10.938
31/05/21;15.178
01/06/21;12.788
02/06/21;11.905
03/06/21;14.164
04/06/21;17.265
05/06/21;20.080
06/06/21;13.375
07/06/21;16.943
08/06/21;15.572
