Data;Prima dose;Seconda dose;Monodose;Terza dose;Quarta dose
27/12/20;318;0;;0;0
28/12/20;6;0;;0;0
02/01/21;166;0;;0;0
03/01/21;5;0;;0;0
04/01/21;1.081;0;;0;0
05/01/21;1.558;0;;0;0
06/01/21;959;0;;0;0
07/01/21;2.227;0;;0;0
08/01/21;2.201;0;;0;0
09/01/21;2.116;0;;0;0
10/01/21;961;0;;0;0
11/01/21;2.201;0;;0;0
12/01/21;2.102;0;;0;0
13/01/21;2.113;0;;0;0
14/01/21;2.692;0;;0;0
15/01/21;2.827;0;;0;0
16/01/21;2.437;0;;0;0
17/01/21;813;101;;0;0
18/01/21;1.065;251;;0;0
19/01/21;1.120;13;;0;0
20/01/21;1.413;1;;0;0
21/01/21;957;35;;0;0
22/01/21;662;2;;0;0
23/01/21;362;43;;0;0
24/01/21;41;6;;0;0
25/01/21;149;941;;0;0
26/01/21;273;1.635;;0;0
27/01/21;384;1.108;;0;0
28/01/21;78;2.226;;0;0
29/01/21;227;1.857;;0;0
30/01/21;289;1.924;;0;0
31/01/21;150;988;;0;0
01/02/21;243;2.334;;0;0
02/02/21;176;2.204;;0;0
03/02/21;518;2.364;;0;0
04/02/21;651;3.039;;0;0
05/02/21;482;3.389;;0;0
06/02/21;430;2.237;;0;0
07/02/21;144;734;;0;0
08/02/21;669;1.214;;0;0
09/02/21;962;1.220;;0;0
10/02/21;889;1.638;;0;0
11/02/21;1.083;1.272;;0;0
12/02/21;945;770;;0;0
13/02/21;1.051;373;;0;0
14/02/21;452;38;;0;0
15/02/21;1.022;171;;0;0
16/02/21;1.470;282;;0;0
17/02/21;1.678;214;;0;0
18/02/21;1.665;235;;0;0
19/02/21;1.261;265;;0;0
20/02/21;1.212;330;;0;0
21/02/21;610;81;;0;0
22/02/21;1.569;564;;0;0
23/02/21;1.507;119;;0;0
24/02/21;1.488;481;;0;0
25/02/21;2.343;607;;0;0
26/02/21;2.736;466;;0;0
27/02/21;3.701;387;;0;0
28/02/21;2.252;161;;0;0
01/03/21;2.313;461;;0;0
02/03/21;3.632;797;;0;0
03/03/21;4.026;1.093;;0;0
04/03/21;4.671;804;;0;0
05/03/21;5.651;578;;0;0
06/03/21;7.724;824;;0;0
07/03/21;3.311;93;;0;0
08/03/21;4.391;1.092;;0;0
09/03/21;5.604;993;;0;0
10/03/21;5.466;1.396;;0;0
11/03/21;5.952;1.346;;0;0
12/03/21;4.070;1.076;;0;0
13/03/21;5.950;1.086;;0;0
