Regione;Varianti individuate;Delta;Alpha;Beta;Gamma;Epsilon;Eta;Theta;Iota;Kappa;Lambda
Abruzzo;2.736;96;2.619;0;5;0;16;0;0;0;0
Basilicata;35;0;35;0;0;0;0;0;0;0;0
Calabria;880;12;833;0;19;0;16;0;0;0;0
Campania;13.703;360;12.758;0;473;1;111;0;0;0;0
Emilia-Romagna;757;62;654;4;0;0;35;0;0;2;2
Friuli-Venezia Giulia;365;44;316;1;4;0;0;0;0;0;0
Lazio;1.521;351;1.109;7;42;1;9;0;0;2;2
Liguria;137;10;115;1;5;0;0;0;5;1;0
Lombardia;333;85;213;6;13;0;16;0;0;0;1
Marche;12;0;12;0;0;0;0;0;0;0;0
Molise;162;4;157;0;0;0;1;0;0;0;0
Piemonte;699;33;635;1;20;0;8;0;0;2;0
Puglia;813;136;676;0;0;0;0;0;1;0;1
Sardegna;683;55;620;0;5;0;1;0;2;0;0
Sicilia;628;95;468;9;10;0;45;0;1;0;0
Toscana;42;11;25;2;1;1;2;0;0;0;0
Trentino-Alto Adige/Südtirol;1.655;94;1.434;24;30;0;73;0;0;0;0
Umbria;750;31;682;0;16;0;21;0;0;0;0
Valle d'Aosta/Vallée d'Aoste;26;0;25;0;0;0;1;0;0;0;0
Veneto;1.117;148;902;10;15;0;39;0;1;2;0
